reform	target	spec_name	window	a	b	beta	se	n_obs	r2	t_stat	p_norm	stars_norm	ci_low_95	ci_high_95
haifa_comp	Haifa-Legacy terminal	porttr	avg_pre	-12	-2	2.112229091850085	9.629161328162234e-12	91	1.0	219357534874.03796	0.0	***	2.1122290918312117	2.1122290918689584
haifa_comp	Haifa-Legacy terminal	porttr	post_1yr	1	12	0.5874706724626271	4.542806504625836e-12	91	1.0	129318885113.07254	0.0	***	0.5874706724537232	0.587470672471531
haifa_comp	Haifa-Legacy terminal	porttr	post_2yrs	1	24	0.5543950485062199	5.8589536073820246e-12	91	1.0	94623560051.35567	0.0	***	0.5543950484947363	0.5543950485177035
haifa_comp	Haifa-Legacy terminal	porttr	full_post	1	13	0.5543950485062199	5.8589536073820246e-12	91	1.0	94623560051.35567	0.0	***	0.5543950484947363	0.5543950485177035
ashdod_comp	Ashdod-HCT terminal	porttr	avg_pre	-12	-2	-0.3711993908092034	2.9398201269000447e-12	95	1.0	-126266021316.28455	0.0	***	-0.37119939081496545	-0.37119939080344133
ashdod_comp	Ashdod-HCT terminal	porttr	post_1yr	1	12	-0.1480231602316797	1.2122844593175546e-12	95	1.0	-122102662534.34288	0.0	***	-0.14802316023405576	-0.14802316022930362
ashdod_comp	Ashdod-HCT terminal	porttr	post_2yrs	1	24	-0.1480231602316797	1.2122844593175546e-12	95	1.0	-122102662534.34288	0.0	***	-0.14802316023405576	-0.14802316022930362
ashdod_comp	Ashdod-HCT terminal	porttr	full_post	1	10	-0.1480231602316797	1.2122844593175546e-12	95	1.0	-122102662534.34288	0.0	***	-0.14802316023405576	-0.14802316022930362
ashdod_comp	Ashdod-Legacy terminal	porttr	avg_pre	-12	-2	-0.3711411373308419	3.124062883409878e-12	95	1.0	-118800789606.9447	0.0	***	-0.3711411373369651	-0.37114113732471876
ashdod_comp	Ashdod-Legacy terminal	porttr	post_1yr	1	12	-0.1480862681664633	1.2964235396267638e-12	95	1.0	-114226765898.6637	0.0	***	-0.1480862681690043	-0.1480862681639223
ashdod_comp	Ashdod-Legacy terminal	porttr	post_2yrs	1	24	-0.1480862681664633	1.2964235396267638e-12	95	1.0	-114226765898.6637	0.0	***	-0.1480862681690043	-0.1480862681639223
ashdod_comp	Ashdod-Legacy terminal	porttr	full_post	1	10	-0.1480862681664633	1.2964235396267638e-12	95	1.0	-114226765898.6637	0.0	***	-0.1480862681690043	-0.1480862681639223
haifa_priv	Haifa-Legacy terminal	porttr	avg_pre	-12	-2	0.1616147994826104	0.1147747097146954	117	0.9477066101302016	1.4081046241314756	0.15910009199468722		-0.06334363155819259	0.3865732305234134
haifa_priv	Haifa-Legacy terminal	porttr	post_1yr	1	12	0.0432912156048122	0.0307443178745212	117	0.9477066101302016	1.4081046059144808	0.15910009738813202		-0.016967647429249347	0.10355007863887375
haifa_priv	Haifa-Legacy terminal	porttr	post_2yrs	1	24	0.0432912156048122	0.0307443178745212	117	0.9477066101302016	1.4081046059144808	0.15910009738813202		-0.016967647429249347	0.10355007863887375
haifa_priv	Haifa-Legacy terminal	porttr	full_post	1	8	0.0432912156048122	0.0307443178745212	117	0.9477066101302016	1.4081046059144808	0.15910009738813202		-0.016967647429249347	0.10355007863887375
haifa_priv	Haifa-Bayport terminal	porttr	avg_pre	-12	-2	0.1616147995247026	0.114774709838947	117	0.947706610130202	1.408104622973842	0.15910009233742395		-0.06334363175963353	0.3865732308090387
haifa_priv	Haifa-Bayport terminal	porttr	post_1yr	1	12	0.0432912155119965	0.030744317763058	117	0.947706610130202	1.4081046080005946	0.15910009677050319		-0.016967647303597178	0.10355007832759018
haifa_priv	Haifa-Bayport terminal	porttr	post_2yrs	1	24	0.0432912155119965	0.030744317763058	117	0.947706610130202	1.4081046080005946	0.15910009677050319		-0.016967647303597178	0.10355007832759018
haifa_priv	Haifa-Bayport terminal	porttr	full_post	1	8	0.0432912155119965	0.030744317763058	117	0.947706610130202	1.4081046080005946	0.15910009677050319		-0.016967647303597178	0.10355007832759018
haifa_comp	Haifa-Bayport terminal	tr_shocks	avg_pre	-12	-2	1.9958210683512216	1.0486521136037148e-11	91	1.0	190322514250.46396	0.0	***	1.995821068330668	1.9958210683717752
haifa_comp	Haifa-Bayport terminal	tr_shocks	post_1yr	1	12	0.5861406514157333	4.396906678260718e-12	91	1.0	133307503275.82407	0.0	***	0.5861406514071155	0.5861406514243512
haifa_comp	Haifa-Bayport terminal	tr_shocks	post_2yrs	1	24	0.5530663709740712	3.3121547770914495e-12	91	1.0	166980835195.07	0.0	***	0.5530663709675794	0.553066370980563
haifa_comp	Haifa-Bayport terminal	tr_shocks	full_post	1	13	0.5530663709740712	3.3121547770914495e-12	91	1.0	166980835195.07	0.0	***	0.5530663709675794	0.553066370980563
haifa_comp	Haifa-Legacy terminal	tr_shocks	avg_pre	-12	-2	1.996279854134784	1.048959394840152e-11	91	1.0	190310498571.68127	0.0	***	1.9962798541142244	1.9962798541553435
haifa_comp	Haifa-Legacy terminal	tr_shocks	post_1yr	1	12	0.589382978779318	4.399716371945102e-12	91	1.0	133959312136.01242	0.0	***	0.5893829787706946	0.5893829787879414
haifa_comp	Haifa-Legacy terminal	tr_shocks	post_2yrs	1	24	0.5563079458312608	3.3151596006854592e-12	91	1.0	167807289192.4225	0.0	***	0.5563079458247631	0.5563079458377584
haifa_comp	Haifa-Legacy terminal	tr_shocks	full_post	1	13	0.5563079458312608	3.3151596006854592e-12	91	1.0	167807289192.4225	0.0	***	0.5563079458247631	0.5563079458377584
ashdod_comp	Ashdod-HCT terminal	tr_shocks	avg_pre	-12	-2	-0.3712544122062972	6.704202440639516e-13	95	1.0	-553763725802.5327	0.0	***	-0.3712544122076112	-0.3712544122049832
ashdod_comp	Ashdod-HCT terminal	tr_shocks	post_1yr	1	12	-0.1479635537206074	1.1140350630187373e-12	95	1.0	-132817681087.76192	0.0	***	-0.1479635537227909	-0.1479635537184239
ashdod_comp	Ashdod-HCT terminal	tr_shocks	post_2yrs	1	24	-0.1479635537206074	1.1140350630187373e-12	95	1.0	-132817681087.76192	0.0	***	-0.1479635537227909	-0.1479635537184239
ashdod_comp	Ashdod-HCT terminal	tr_shocks	full_post	1	10	-0.1479635537206074	1.1140350630187373e-12	95	1.0	-132817681087.76192	0.0	***	-0.1479635537227909	-0.1479635537184239
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	avg_pre	-12	-2	-0.3711971248653833	7.265224002076416e-13	95	1.0	-510923165974.36554	0.0	***	-0.3711971248668073	-0.37119712486395934
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	post_1yr	1	12	-0.1480256150066571	1.2029031422635365e-12	95	1.0	-123056969265.30023	0.0	***	-0.1480256150090148	-0.1480256150042994
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	post_2yrs	1	24	-0.1480256150066571	1.2029031422635365e-12	95	1.0	-123056969265.30023	0.0	***	-0.1480256150090148	-0.1480256150042994
ashdod_comp	Ashdod-Legacy terminal	tr_shocks	full_post	1	10	-0.1480256150066571	1.2029031422635365e-12	95	1.0	-123056969265.30023	0.0	***	-0.1480256150090148	-0.1480256150042994
haifa_priv	Haifa-Legacy terminal	tr_shocks	avg_pre	-12	-2	0.1616147996612721	0.1173542393248009	117	0.947706610130202	1.3771534849624938	0.1684647995221935		-0.06839950941533765	0.3916291087378818
