table_group	panel	row_key	row_label	row_order	row_type	target	target_key	spec_name	spec_display	column_key	column_label	column_order	design	reform	beta	se	pvalue	stars	n_obs	r2	value_num	value_display
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_priv			0.1355045526254288		84	0.9869690059047206	0.1355045526254288	0.136
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	NYT	Haifa-Bayport__baseline	Haifa-Bayport — NYT	3	NYT	haifa_priv			0.0930153380009207		84	0.984437240446424	0.0930153380009207	0.093
privatization	panelB	pretrend_p	Pre-trends F-test p-value	4	summary	Haifa-Bayport	haifa_bayport_placebo	porttr	NYT+Tr	Haifa-Bayport__porttr	Haifa-Bayport — NYT+Tr	4	NYT	haifa_priv			0.1355045526253901		84	0.986969005904721	0.1355045526253901	0.136
privatization	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_priv					84	0.984437240446424	84.0	84
privatization	panelB	n_obs	Observations	5	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_priv					84	0.9869690059047206	84.0	84
privatization	panelB	n_obs	Observations	5	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	NYT	Haifa-Bayport__baseline	Haifa-Bayport — NYT	3	NYT	haifa_priv					84	0.984437240446424	84.0	84
privatization	panelB	n_obs	Observations	5	summary	Haifa-Bayport	haifa_bayport_placebo	porttr	NYT+Tr	Haifa-Bayport__porttr	Haifa-Bayport — NYT+Tr	4	NYT	haifa_priv					84	0.986969005904721	84.0	84
privatization	panelB	r2	Within R^2	6	summary	Haifa-Legacy	haifa_legacy	baseline	NYT	Haifa-Legacy__baseline	Haifa-Legacy — NYT	1	NYT	haifa_priv					84	0.984437240446424	0.984437240446424	0.984
privatization	panelB	r2	Within R^2	6	summary	Haifa-Legacy	haifa_legacy	porttr	NYT+Tr	Haifa-Legacy__porttr	Haifa-Legacy — NYT+Tr	2	NYT	haifa_priv					84	0.9869690059047206	0.9869690059047206	0.987
privatization	panelB	r2	Within R^2	6	summary	Haifa-Bayport	haifa_bayport_placebo	baseline	NYT	Haifa-Bayport__baseline	Haifa-Bayport — NYT	3	NYT	haifa_priv					84	0.984437240446424	0.984437240446424	0.984
privatization	panelB	r2	Within R^2	6	summary	Haifa-Bayport	haifa_bayport_placebo	porttr	NYT+Tr	Haifa-Bayport__porttr	Haifa-Bayport — NYT+Tr	4	NYT	haifa_priv					84	0.986969005904721	0.986969005904721	0.987
