design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	5	q5_8	5	8	5	-0.5262564489454888	0.06857091564013182	-7.674630621929335	1.6589599689604664e-14	3	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	9	q9_40	9	40	9	0.0	0.0			0	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	pre_8_5	-8	-5	-8	0.07929212848810534	3.281155899599988e-14	2416591314596.542	0.0	2	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	pre_4_2	-4	-2	-4	-4.718447854656915e-16	3.0478343434354086e-14	-0.0154813133621247	0.9876481924845207	3	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	q0	0	0	0	0.08435008231690866	3.6963592711938856e-14	2281977376340.4893	0.0	1	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	q1_2	1	2	1	0.0843500823169078	3.3253438322863865e-14	2536582277535.8457	0.0	2	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	q3_4	3	4	3	0.22774486498926574	0.14339478267235783	1.5882367596988454	0.11223281168662778	2	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	q5_8	5	8	5	0.3711396476616229	3.123956750369677e-14	11880434888149.576	0.0	3	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	9	q9_40	9	40	9	0.0	0.0			0	28	0.9511857377821553	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-8	pre_8_5	-8	-5	-8	-0.20862456784000383	0.036868601458278395	-5.658597277580208	1.5261520402529297e-08	2	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-4	pre_4_2	-4	-2	-4	-0.28579623463128323	0.07599574734496582	-3.7606872044296726	0.0001694472086147366	3	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	0	q0	0	0	0	0.018242376405453342	0.007984772197837433	2.2846458174967146	0.02233360406469771	1	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	1	q1_2	1	2	1	-0.10973117595964998	0.02218451700405878	-4.946295469924996	7.563912175946603e-07	2	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	3	q3_4	3	4	3	0.027931057258559377	0.1319006120888758	0.21175835969388213	0.8322955559119833	2	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	5	q5_8	5	8	5	0.0451280515306971	0.06233575421882934	0.7239513196916703	0.4690956217516866	3	28	0.40798752470353394	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	9	q9_40	9	40	9	0.0	0.0			0	28	0.40798752470353394	HC1
