port	terminal	year	quarter	lp	qtr	Y	t_index
Ashdod	Ashdod-Legacy	2021	3	21.34690899414108	2021Q3	3.0609069514013307	14
Ashdod	Ashdod-Legacy	2021	4	0.3461744496479818	2021Q4	-1.0608124412512987	15
Ashdod	Ashdod-Legacy	2022	1	5.733153308504999	2022Q1	1.7462656949789568	16
Ashdod	Ashdod-Legacy	2022	2	17.940160712173178	2022Q2	2.8870418149056403	17
Ashdod	Ashdod-Legacy	2022	3	51.86034807811427	2022Q3	3.9485544919683306	18
Ashdod	Ashdod-Legacy	2022	4	72.46633790120755	2022Q4	4.283122149226844	19
Ashdod	Ashdod-Legacy	2023	1	27.806595849727113	2023Q1	3.3252732533362543	20
Ashdod	Ashdod-Legacy	2023	2	43.33314811229117	2023Q2	3.7689178874465954	21
Ashdod	Ashdod-Legacy	2023	3	39.07203198009027	2023Q3	3.6654069164192133	22
Ashdod	Ashdod-Legacy	2023	4	29.78822405789146	2023Q4	3.3941131495701935	23
Ashdod	Ashdod-Legacy	2024	1	27.88222742848066	2024Q1	3.327989476118541	24
Ashdod	Ashdod-Legacy	2024	2	43.98653068474406	2024Q2	3.783883466252453	25
Ashdod	Ashdod-Legacy	2024	3	41.0828945074639	2024Q3	3.7155918428377386	26
Ashdod	Ashdod-Legacy	2024	4	39.04834737931138	2024Q4	3.6648005547579205	27
Haifa		2018	1	57.82449117042111	2018Q1	4.057412408604876	0
Haifa		2018	2	54.5783155687015	2018Q2	3.999636653109228	1
Haifa		2018	3	48.8199006744757	2018Q3	3.8881380304374615	2
Haifa		2018	4	54.77729258640167	2018Q4	4.003275739218187	3
Haifa		2019	1	56.90150032230272	2019Q1	4.041321708487699	4
Haifa		2019	2	55.32310751326782	2019Q2	4.013190678632987	5
Haifa		2019	3	56.47913142343628	2019Q3	4.033871214586501	6
Haifa		2019	4	55.296260740993176	2019Q4	4.01270528853855	7
Haifa		2020	1	56.86488286524865	2020Q1	4.040677977759999	8
Haifa		2020	2	51.10529297690116	2020Q2	3.9338880726068175	9
Haifa		2020	3	51.49263419157549	2020Q3	3.9414387720342807	10
Haifa		2020	4	48.537189966274674	2020Q4	3.8823303075282363	11
Haifa		2021	1	78.34805578528552	2021Q1	4.36116115401151	12
Haifa		2021	2	77.70279667938017	2021Q2	4.352891250025475	13
Haifa		2021	3	0.2822059029051727	2021Q3	-1.2651183223294167	14
Haifa		2021	4	0.9934411330441072	2021Q4	-0.006580470840247311	15
Haifa	Haifa-Bayport	2021	3	0.3132552315866705	2021Q3	-1.1607369843504618	14
Haifa	Haifa-Bayport	2021	4	1.168595606909555	2021Q4	0.15580269185469597	15
Haifa	Haifa-Bayport	2022	1	10.344218571662008	2022Q1	2.336427771530732	16
Haifa	Haifa-Bayport	2022	2	27.865006081181804	2022Q2	3.3273716392587556	17
Haifa	Haifa-Bayport	2022	3	51.83817740872656	2022Q3	3.948126893415286	18
Haifa	Haifa-Bayport	2022	4	82.60565916291942	2022Q4	4.414078191048307	19
Haifa	Haifa-Bayport	2023	1	50.09284147902468	2023Q1	3.913878113231629	20
Haifa	Haifa-Bayport	2023	2	48.71723718811278	2023Q2	3.886032913832124	21
Haifa	Haifa-Bayport	2023	3	46.80826410937859	2023Q3	3.8460597708682944	22
Haifa	Haifa-Bayport	2023	4	34.38165722348395	2023Q4	3.537523201919321	23
Haifa	Haifa-Bayport	2024	1	54.39438732897602	2024Q1	3.996260974439378	24
Haifa	Haifa-Bayport	2024	2	52.30615859508527	2024Q2	3.9571141193024366	25
Haifa	Haifa-Bayport	2024	3	44.27021009830393	2024Q3	3.7903119925720454	26
Haifa	Haifa-Bayport	2024	4	49.02924397763479	2024Q4	3.892416935956961	27
Haifa	Haifa-Legacy	2021	3	0.3411001410610413	2021Q3	-1.0755791760101545	14
Haifa	Haifa-Legacy	2021	4	1.2724707719681825	2021Q4	0.24096050019500304	15
Haifa	Haifa-Legacy	2022	1	11.263704666920852	2022Q1	2.4215855798710386	16
Haifa	Haifa-Legacy	2022	2	30.34189551062019	2022Q2	3.412529447599063	17
Haifa	Haifa-Legacy	2022	3	56.44601540061336	2022Q3	4.033284701755592	18
Haifa	Haifa-Legacy	2022	4	89.9483844218456	2022Q4	4.499235999388614	19
Haifa	Haifa-Legacy	2023	1	54.545538499382424	2023Q1	3.9990359215719358	20
Haifa	Haifa-Legacy	2023	2	53.04765827150058	2023Q2	3.9711907221724307	21
Haifa	Haifa-Legacy	2023	3	50.96899869687891	2023Q3	3.9312175792086017	22
Haifa	Haifa-Legacy	2023	4	37.43780453223808	2023Q4	3.622681010259628	23
Haifa	Haifa-Legacy	2024	1	44.60339760976034	2024Q1	3.79781003571554	24
Haifa	Haifa-Legacy	2024	2	42.89105004796993	2024Q2	3.758663180578598	25
Haifa	Haifa-Legacy	2024	3	36.30157228060922	2024Q3	3.5918610538482074	26
Haifa	Haifa-Legacy	2024	4	40.20398006166053	2024Q4	3.6939659972331227	27
