port	terminal	year	quarter	tons_i_q
Haifa	Haifa-Legacy	2021	Q2	4472513.6
Haifa	Haifa-Legacy	2021	Q3	4060207.5
Haifa	Haifa-Legacy	2021	Q4	4224779.5
Haifa	Haifa-Legacy	2022	Q1	4248435.798
Haifa	Haifa-Legacy	2022	Q2	3296997.828
Haifa	Haifa-Legacy	2022	Q3	2017959.7240000002
Haifa	Haifa-Legacy	2022	Q4	774599.4709999999
Haifa	Haifa-Legacy	2023	Q1	227730.07599999988
Haifa	Haifa-Legacy	2023	Q2	708632.5560000002
Haifa	Haifa-Legacy	2023	Q3	853088.084
Haifa	Haifa-Legacy	2023	Q4	1283548.1970000002
Haifa	Haifa-Legacy	2024	Q1	829953.1479999998
Haifa	Haifa-Legacy	2024	Q2	965372.027
Haifa	Haifa-Legacy	2024	Q3	1427507.0990000002
Haifa	Haifa-Legacy	2024	Q4	1436296.702
Haifa	Haifa-Legacy	2025	Q1	1493264.4330000002
Haifa	Haifa-Legacy	2025	Q2	1491281.349
Haifa	Haifa-Legacy	2025	Q3	692204.074
