port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-10-01	2022	1136450.196785607	1054668.7643659618	977448.2010334488	1136450.196785607	1054668.7643659618	977448.2010334488	11941960.119592212	11091264.931929354	10288017.062846327	13078410.316377819	12145933.696295315	11265465.263879776
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-11-01	2022	1132542.5358913883	1049181.1469888636	970629.3105082414	1132542.5358913883	1049181.1469888636	970629.3105082414	11916332.153662683	11048869.909970034	10231192.111452151	13048874.689554071	12098051.056958897	11201821.421960393
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2022-12-01	2022	1128731.5213318863	1043858.7696226372	964045.0348646364	1128731.5213318863	1043858.7696226372	964045.0348646364	11891583.263636844	11007996.768759305	10176499.08452957	13020314.78496873	12051855.538381942	11140544.119394206
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-01-01	2023	1124569.3179793986	1038103.7746967518	956895.6249659082	1124569.3179793986	1038103.7746967518	956895.6249659082	11882059.70523339	10982501.742157474	10137474.69248648	13006629.023212789	12020605.516854227	11094370.317452388
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-02-01	2023	1120422.7699163756	1032385.0819630692	949814.3728395331	1120422.7699163756	1032385.0819630692	949814.3728395331	11872543.773918996	10957065.763209408	10098599.949469252	12992966.543835372	11989450.845172478	11048414.322308784
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-03-01	2023	1116565.097617176	1027124.9986218044	943350.5798321476	1116565.097617176	1027124.9986218044	943350.5798321476	11863955.289748205	10934141.969568923	10063615.42750255	12980520.38736538	11961266.968190728	11006966.007334698
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-04-01	2023	1112448.560467342	1021475.0962121314	936397.4517855572	1112448.560467342	1021475.0962121314	936397.4517855572	11854453.857635004	10908817.994077444	10025023.916752968	12966902.418102346	11930293.090289576	10961421.368538525
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-05-01	2023	1108437.8763174736	1015999.6568020012	929689.8771829772	1108437.8763174736	1015999.6568020012	929689.8771829772	11845266.168527031	10884366.766444726	9987818.204532249	12953704.044844504	11900366.423246726	10917508.081715226
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-06-01	2023	1104351.871153427	1010419.6779185436	922866.270151242	1104351.871153427	1010419.6779185436	922866.270151242	11835779.703885617	10859158.072612064	9949517.357646575	12940131.575039044	11869577.750530608	10872383.627797818
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2023-07-01	2023	1100370.874799929	1005011.7056568888	916282.9940242256	1100370.874799929	1005011.7056568888	916282.9940242256	11826606.488014543	10834818.153651344	9912591.871720798	12926977.362814473	11839829.859308232	10828874.865745025
