design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-10	-10	0.2996808704896736	0.20349878246165962	1.4726420810214689	0.1408475716237595	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-9	-9	0.20802891523474965	0.14126237319692397	1.47264208102147	0.14084757162375922	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-8	-8	0.20802891523474454	0.14126237319692359	1.4726420810214378	0.14084757162376788	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-7	-7	0.20802891523474	0.1412623731969237	1.4726420810214045	0.14084757162377684	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-6	-6	-0.08580936670269157	0.05826899000684224	-1.4726420810214043	0.14084757162377692	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-5	-5	-0.08580936670269579	0.05826899000684227	-1.472642081021476	0.1408475716237576	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-4	-4	-0.08580936670269068	0.05826899000684217	-1.4726420810213907	0.14084757162378056	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-3	-3	6.028348261399775e-15				1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-2	-2	2.6645352591003757e-15				1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	0	0.30295294713199006	0.20572069142683666	1.4726420810214584	0.14084757162376235	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	1	0.30295294713198595	0.20572069142683622	1.4726420810214418	0.14084757162376682	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	2	2	0.3029529471319874	0.20572069142683583	1.4726420810214516	0.14084757162376424	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	3	3	-0.00743080409570962	0.005045899605528149	-1.4726420810213179	0.14084757162380024	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	4	-0.007430804095704069	0.005045899605528043	-1.4726420810202485	0.14084757162408876	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	5	5	-0.007430804095710841	0.00504589960552818	-1.4726420810215508	0.14084757162373737	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	6	6	0.032958163973647814	0.022380294844479735	1.4726420810214298	0.14084757162377004	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	7	0.03295816397364976	0.02238029484447913	1.4726420810215564	0.14084757162373593	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	8	8	0.0329581639736487	0.022380294844479263	1.4726420810215006	0.14084757162375094	1.0	84	0.9844372404464239
