port	terminal	year	month	date	L_hours
Ashdod	Ashdod-Legacy	2023	7	2023-07-31	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	8	2023-08-31	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	9	2023-09-30	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	10	2023-10-31	2286.2285714285717
Ashdod	Ashdod-Legacy	2023	11	2023-11-30	2286.2285714285717
Ashdod	Ashdod-Legacy	2023	12	2023-12-31	2286.2285714285717
Ashdod	Ashdod-Legacy	2024	1	2024-01-31	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	2	2024-02-29	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	3	2024-03-31	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	4	2024-04-30	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	5	2024-05-31	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	6	2024-06-30	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	7	2024-07-31	2717.80701754386
Ashdod	Ashdod-Legacy	2024	8	2024-08-31	2717.80701754386
Ashdod	Ashdod-Legacy	2024	9	2024-09-30	2717.80701754386
Ashdod	Ashdod-Legacy	2024	10	2024-10-31	2652.3596491228072
Ashdod	Ashdod-Legacy	2024	11	2024-11-30	2652.3596491228072
Ashdod	Ashdod-Legacy	2024	12	2024-12-31	2652.3596491228072
Haifa	Haifa-Bayport	2021	1	2021-01-31	0.0
Haifa	Haifa-Bayport	2021	2	2021-02-28	0.0
Haifa	Haifa-Bayport	2021	3	2021-03-31	0.0
Haifa	Haifa-Bayport	2021	4	2021-04-30	0.0
Haifa	Haifa-Bayport	2021	5	2021-05-31	0.0
Haifa	Haifa-Bayport	2021	6	2021-06-30	0.0
Haifa	Haifa-Bayport	2021	7	2021-07-31	57.212258104458805
Haifa	Haifa-Bayport	2021	8	2021-08-31	60.53416060726548
Haifa	Haifa-Bayport	2021	9	2021-09-30	50.76717878944461
Haifa	Haifa-Bayport	2021	10	2021-10-31	206.38213252009487
Haifa	Haifa-Bayport	2021	11	2021-11-30	218.35812899476124
Haifa	Haifa-Bayport	2021	12	2021-12-31	218.35812899476124
Haifa	Haifa-Bayport	2022	1	2022-01-31	455.1819800227918
Haifa	Haifa-Bayport	2022	2	2022-02-28	455.1819800227918
Haifa	Haifa-Bayport	2022	3	2022-03-31	455.1819800227918
