entity	month	year	pool_type	asset_class_std	engine_bucket	begin_stock_kNIS	dep_rate_monthly_used	investment_kNIS	reconciliation_adjustment_kNIS	end_stock_kNIS
HPC	2024-04	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	12296.062495222664	0.0110659331391372	852.8695826153845	0.0	13012.864672391264
HPC	2024-04	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10031.36847277889	0.0107923593727995	183.49968015384616	0.0	10106.606019373534
HPC	2024-05	2024	background	mixed	background::mixed	840917.0838163544	0.008205755847094931	-2306.993217653817	0.0	831709.7303212525
HPC	2024-05	2024	mapped_undated	cranes	mapped_undated::cranes	55275.2424412681	0.0025350486138366	931.5638243589743	0.0	56066.68083889686
HPC	2024-05	2024	mapped_undated	equipment	mapped_undated::equipment	44133.269477963724	0.0107923593727995	0.0	0.0	43656.96737346093
HPC	2024-05	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	49823.52380571768	0.0042653187775606	1243.1670548076922	0.0	50854.17764887261
HPC	2024-05	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	13012.864672391264	0.0110659331391372	1066.0869782692305	0.0	13934.952160247172
HPC	2024-05	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10106.606019373534	0.0107923593727995	229.37460019230767	0.0	10226.906495365463
HPC	2024-06	2024	background	mixed	background::mixed	831709.7303212525	0.008205755847094931	-2768.39186118458	0.0	822116.5314773985
HPC	2024-06	2024	mapped_undated	cranes	mapped_undated::cranes	56066.68083889686	0.0025350486138366	1117.8765892307692	0.0	57042.42566658457
HPC	2024-06	2024	mapped_undated	equipment	mapped_undated::equipment	43656.96737346093	0.0107923593727995	0.0	0.0	43185.80569243996
HPC	2024-06	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	50854.17764887261	0.0042653187775606	1491.8004657692309	0.0	52129.068835798695
HPC	2024-06	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	13934.952160247172	0.0110659331391372	1279.3043739230768	0.0	15060.053285267879
HPC	2024-06	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10226.906495365463	0.0107923593727995	275.24952023076924	0.0	10391.78356542623
HPC	2024-07	2024	background	mixed	background::mixed	822116.5314773985	0.008205755847094931	-3229.7905047153436	0.0	812140.6534375191
HPC	2024-07	2024	mapped_undated	cranes	mapped_undated::cranes	57042.42566658457	0.0025350486138366	1304.189354102564	0.0	58202.00969857118
HPC	2024-07	2024	mapped_undated	equipment	mapped_undated::equipment	43185.80569243996	0.0107923593727995	0.0	0.0	42719.728957603256
HPC	2024-07	2024	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	52129.068835798695	0.0042653187775606	1740.4338767307693	0.0	53647.15561636738
HPC	2024-07	2024	mapped_undated	other_operational_equipment	mapped_undated::other_operational_equipment	15060.053285267879	0.0110659331391372	1492.521769576923	0.0	16385.921512118184
HPC	2024-07	2024	mapped_undated	spare_parts	mapped_undated::spare_parts	10391.78356542623	0.0107923593727995	321.1244402692308	0.0	10600.756142933029
