year	month	date	event_time	Haifa_Bayport_KL	Haifa_Legacy_KL	legacy_minus_bayport	legacy_minus_bayport_norm_m_minus_1
2021	8	2021-08-01	-17	4.243705943559695	5.898508452596702	1.6548025090370073	1.2545343138405185
2021	9	2021-09-01	-16	7.908831219954527	6.078973208407155	-1.8298580115473717	-2.2301262067438605
2021	10	2021-10-01	-15	7.581977111510588	6.015675446062145	-1.5663016654484423	-1.9665698606449311
2021	11	2021-11-01	-14	8.211022265090127	5.966432468111374	-2.2445897969787536	-2.6448579921752424
2021	12	2021-12-01	-13	8.717253934531357	5.974868035888706	-2.7423858986426506	-3.1426540938391394
2022	1	2022-01-01	-12	7.979619936679824	5.977780657843691	-2.001839278836133	-2.402107474032622
2022	2	2022-02-01	-11	7.981094610472244	5.9722320182453625	-2.0088625922268815	-2.4091307874233703
2022	3	2022-03-01	-10	7.987062853091477	5.96807757864968	-2.018985274441797	-2.419253469638286
2022	4	2022-04-01	-9	7.163719337651168	6.073362092138838	-1.0903572455123296	-1.4906254407088184
2022	5	2022-05-01	-8	7.178280195467612	6.072007640631408	-1.1062725548362042	-1.506540750032693
2022	6	2022-06-01	-7	7.19683876584659	6.072047308152242	-1.1247914576943483	-1.5250596528908371
2022	7	2022-07-01	-6	6.892624151167536	6.35541784290281	-0.537206308264726	-0.9374745034612149
2022	8	2022-08-01	-5	6.918388604277644	6.3582053116407815	-0.5601832926368626	-0.9604514878333514
2022	9	2022-09-01	-4	6.94731213780721	6.3623355101098245	-0.5849766276973858	-0.9852448228938746
2022	10	2022-10-01	-3	6.330182235377876	6.78656664573582	0.45638441035794397	0.05611621516145515
2022	11	2022-11-01	-2	6.364481890157547	6.793294731417685	0.42881284126013774	0.028544646063648926
2022	12	2022-12-01	-1	6.40100079451223	6.801268989708719	0.4002681951964888	0.0
2023	1	2023-01-01	0	6.917647717237958	6.760928987195406	-0.15671873004255144	-0.5569869252390403
2023	2	2023-02-01	1	6.910033858865971	6.756131231189372	-0.15390262767659824	-0.554170822873087
2023	3	2023-03-01	2	6.902420000493984	6.753102118345339	-0.14931788214864472	-0.5495860773451335
2023	4	2023-04-01	3	6.853002667468313	6.634084094282602	-0.21891857318571084	-0.6191867683821997
2023	5	2023-05-01	4	6.845388809096326	6.634600590132064	-0.2107882189642618	-0.6110564141607506
2023	6	2023-06-01	5	6.837774950724339	6.63687533149242	-0.2008996192319188	-0.6011678144284076
2023	7	2023-07-01	6	6.908798605755171	6.719902485467828	-0.18889612028734337	-0.5891643154838322
2023	8	2023-08-01	7	6.901184747383184	6.725619229671468	-0.1755655177117168	-0.5758337129082056
2023	9	2023-09-01	8	6.8935708890111975	6.7330027998959086	-0.16056808911528897	-0.5608362843117778
2023	10	2023-10-01	9	7.274874801104679	6.654025520206538	-0.620849280898141	-1.0211174760946298
2023	11	2023-11-01	10	7.267260942732692	6.664596683315184	-0.6026642594175078	-1.0029324546139966
2023	12	2023-12-01	11	7.259647084360705	6.676675801024986	-0.582971283335719	-0.9832394785322078
2024	1	2024-01-01	12	7.260265892580989	6.649658316798223	-0.6106075757827663	-1.010875770979255
2024	2	2024-02-01	13	7.252652034209001	6.642182593630245	-0.6104694405787559	-1.0107376357752447
2024	3	2024-03-01	14	7.245038175837015	6.634943505292369	-0.6100946705446466	-1.0103628657411354
2024	4	2024-04-01	15	7.423114945454394	6.736395298941393	-0.6867196465130005	-1.0869878417094894
2024	5	2024-05-01	16	7.415501087082407	6.7296426718028055	-0.6858584152796015	-1.0861266104760903
2024	6	2024-06-01	17	7.40788722871042	6.723139631210064	-0.6847475975003556	-1.0850157926968444
2024	7	2024-07-01	18	7.426526693756322	6.56200201968084	-0.864524674075482	-1.2647928692719708
2024	8	2024-08-01	19	7.418912835384335	6.556010190641335	-0.8629026447429995	-1.2631708399394883
2024	9	2024-09-01	20	7.411298977012348	6.5502796881314165	-0.8610192888809314	-1.2612874840774202
2024	10	2024-10-01	21	7.315671770465657	6.607234174572118	-0.7084375958935389	-1.1087057910900278
2024	11	2024-11-01	22	7.30805791209367	6.602036949736318	-0.7060209623573517	-1.1062891575538405
2024	12	2024-12-01	23	7.300444053721682	6.597111322018811	-0.7033327317028712	-1.10360092689936
