Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
AllPorts	08-2020	Monthly	2020	202008	259.138	259138.0
AllPorts	09-2020	Monthly	2020	202009	249.497	249497.0
AllPorts	10-2020	Monthly	2020	202010	277.597	277597.0
AllPorts	11-2020	Monthly	2020	202011	263.48	263480.0
AllPorts	12-2020	Monthly	2020	202012	256.653	256653.0
AllPorts	01-2021	Monthly	2021	202101	260.529	260529.0
AllPorts	02-2021	Monthly	2021	202102	242.301	242301.0
AllPorts	03-2021	Monthly	2021	202103	263.115	263115.0
AllPorts	04-2021	Monthly	2021	202104	252.844	252844.0
AllPorts	05-2021	Monthly	2021	202105	273.962	273962.0
AllPorts	06-2021	Monthly	2021	202106	276.042	276042.0
AllPorts	07-2021	Monthly	2021	202107	269.141	269141.0
AllPorts	08-2021	Monthly	2021	202108	278.212	278212.0
AllPorts	09-2021	Monthly	2021	202109	210.611	210611.0
AllPorts	10-2021	Monthly	2021	202110	257.756	257756.0
Ashdod	01-2008	Monthly	2008	200801	60.353	60353.0
Ashdod	02-2008	Monthly	2008	200802	70.824	70824.0
Ashdod	03-2008	Monthly	2008	200803	71.39	71390.0
Ashdod	04-2008	Monthly	2008	200804	66.996	66996.0
Ashdod	05-2008	Monthly	2008	200805	67.275	67275.0
Ashdod	06-2008	Monthly	2008	200806	62.796	62796.0
Ashdod	07-2008	Monthly	2008	200807	74.263	74263.0
Ashdod	08-2008	Monthly	2008	200808	59.704	59704.0
Ashdod	09-2008	Monthly	2008	200809	60.414	60414.0
Ashdod	10-2008	Monthly	2008	200810	81.383	81383.0
Ashdod	11-2008	Monthly	2008	200811	78.682	78682.0
Ashdod	12-2008	Monthly	2008	200812	73.84	73840.0
Ashdod	01-2009	Monthly	2009	200901	62.614	62614.0
Ashdod	02-2009	Monthly	2009	200902	65.477	65477.0
Ashdod	03-2009	Monthly	2009	200903	81.874	81874.0
Ashdod	04-2009	Monthly	2009	200904	73.118	73118.0
Ashdod	05-2009	Monthly	2009	200905	67.513	67513.0
Ashdod	06-2009	Monthly	2009	200906	71.967	71967.0
Ashdod	07-2009	Monthly	2009	200907	71.383	71383.0
Ashdod	08-2009	Monthly	2009	200908	82.658	82658.0
Ashdod	09-2009	Monthly	2009	200909	75.171	75171.0
Ashdod	10-2009	Monthly	2009	200910	75.559	75559.0
Ashdod	11-2009	Monthly	2009	200911	79.358	79358.0
Ashdod	12-2009	Monthly	2009	200912	86.291	86291.0
Ashdod	01-2010	Monthly	2010	201001	81.756	81756.0
Ashdod	02-2010	Monthly	2010	201002	83.97	83970.0
Ashdod	03-2010	Monthly	2010	201003	94.434	94434.0
Ashdod	04-2010	Monthly	2010	201004	89.477	89477.0
Ashdod	05-2010	Monthly	2010	201005	90.051	90051.0
Ashdod	06-2010	Monthly	2010	201006	86.733	86733.0
Ashdod	07-2010	Monthly	2010	201007	83.713	83713.0
Ashdod	08-2010	Monthly	2010	201008	79.168	79168.0
Ashdod	09-2010	Monthly	2010	201009	69.693	69693.0
Ashdod	10-2010	Monthly	2010	201010	82.483	82483.0
Ashdod	11-2010	Monthly	2010	201011	88.697	88697.0
Ashdod	12-2010	Monthly	2010	201012	87.407	87407.0
Ashdod	01-2011	Monthly	2011	201101	87.399	87399.0
Ashdod	02-2011	Monthly	2011	201102	94.697	94697.0
Ashdod	03-2011	Monthly	2011	201103	115.191	115191.0
Ashdod	04-2011	Monthly	2011	201104	105.157	105157.0
Ashdod	05-2011	Monthly	2011	201105	89.491	89491.0
Ashdod	06-2011	Monthly	2011	201106	107.759	107759.0
Ashdod	07-2011	Monthly	2011	201107	94.53	94530.0
Ashdod	08-2011	Monthly	2011	201108	102.746	102746.0
Ashdod	09-2011	Monthly	2011	201109	89.843	89843.0
Ashdod	10-2011	Monthly	2011	201110	92.24	92240.0
Ashdod	11-2011	Monthly	2011	201111	87.058	87058.0
Ashdod	12-2011	Monthly	2011	201112	93.992	93992.0
Ashdod	01-2012	Monthly	2012	201201	97.707	97707.0
Ashdod	02-2012	Monthly	2012	201202	86.667	86667.0
Ashdod	03-2012	Monthly	2012	201203	103.621	103621.0
Ashdod	04-2012	Monthly	2012	201204	106.083	106083.0
Ashdod	05-2012	Monthly	2012	201205	111.086	111086.0
Ashdod	06-2012	Monthly	2012	201206	100.854	100854.0
Ashdod	07-2012	Monthly	2012	201207	110.748	110748.0
Ashdod	08-2012	Monthly	2012	201208	97.918	97918.0
Ashdod	09-2012	Monthly	2012	201209	82.517	82517.0
Ashdod	10-2012	Monthly	2012	201210	97.414	97414.0
Ashdod	11-2012	Monthly	2012	201211	85.932	85932.0
Ashdod	12-2012	Monthly	2012	201212	89.904	89904.0
Ashdod	01-2013	Monthly	2013	201301	89.926	89926.0
Ashdod	02-2013	Monthly	2013	201302	96.528	96528.0
Ashdod	03-2013	Monthly	2013	201303	91.882	91882.0
Ashdod	04-2013	Monthly	2013	201304	104.279	104279.0
Ashdod	05-2013	Monthly	2013	201305	111.714	111714.0
Ashdod	06-2013	Monthly	2013	201306	101.692	101692.0
Ashdod	07-2013	Monthly	2013	201307	108.589	108589.0
Ashdod	08-2013	Monthly	2013	201308	107.306	107306.0
Ashdod	09-2013	Monthly	2013	201309	85.071	85071.0
Ashdod	10-2013	Monthly	2013	201310	101.386	101386.0
Ashdod	11-2013	Monthly	2013	201311	89.345	89345.0
Ashdod	12-2013	Monthly	2013	201312	93.95	93950.0
Ashdod	01-2014	Monthly	2014	201401	107.357	107357.0
Ashdod	02-2014	Monthly	2014	201402	108.099	108099.0
Ashdod	03-2014	Monthly	2014	201403	102.626	102626.0
Ashdod	04-2014	Monthly	2014	201404	93.827	93827.0
Ashdod	05-2014	Monthly	2014	201405	109.065	109065.0
Ashdod	06-2014	Monthly	2014	201406	116.241	116241.0
Ashdod	07-2014	Monthly	2014	201407	100.992	100992.0
Ashdod	08-2014	Monthly	2014	201408	100.807	100807.0
Ashdod	09-2014	Monthly	2014	201409	100.582	100582.0
Ashdod	10-2014	Monthly	2014	201410	98.121	98121.0
Ashdod	11-2014	Monthly	2014	201411	97.901	97901.0
Ashdod	12-2014	Monthly	2014	201412	114.088	114088.0
