PortOrTerminal	Month-Year	tons_k
Ashdod	12-2017	1884.772599
Ashdod	01-2018	2003.195046
Ashdod	02-2018	1853.087047
Ashdod	03-2018	1899.461314
Ashdod	04-2018	1925.889287
Ashdod	05-2018	1982.586069
Ashdod	06-2018	1971.086063
Ashdod	07-2018	2204.184377
Ashdod	08-2018	2189.938196
Ashdod	09-2018	1524.78963
Ashdod	10-2018	2025.30249
Ashdod	11-2018	2055.397323
Ashdod	12-2018	1840.130271
Ashdod	01-2019	1957.516591
Ashdod	02-2019	1858.875069
Ashdod	03-2019	1896.98778
Ashdod	04-2019	2000.467108
Ashdod	05-2019	2054.487895
Ashdod	06-2019	1958.733971
Ashdod	07-2019	2197.893836
Ashdod	08-2019	2181.836751
Ashdod	09-2019	1892.73877
Ashdod	10-2019	1792.69328
Ashdod	11-2019	1982.382752
Ashdod	12-2019	1815.306523
Ashdod	01-2020	1835.2421
Ashdod	02-2020	1933.438078
Ashdod	03-2020	1856.792117
Ashdod	04-2020	1850.266505
Ashdod	05-2020	1997.070614
Ashdod	06-2020	2044.783716
Ashdod	07-2020	2081.313428
Ashdod	08-2020	2099.862499
Ashdod	09-2020	1946.3418
Ashdod	10-2020	2106.747689
Ashdod	11-2020	2089.9878
Ashdod	12-2020	2131.800038
Ashdod	01-2021	1978.6369
Ashdod	02-2021	1874.818
Ashdod	03-2021	2055.1169
Ashdod	04-2021	1879.2258
Ashdod	05-2021	1939.299
Ashdod	06-2021	2051.8656
Ashdod	07-2021	1922.524
Ashdod	08-2021	2207.1862
Ashdod	09-2021	1624.6742
Ashdod	10-2021	1923.0095
Ashdod	11-2021	2204.1872
Ashdod	12-2021	1927.2136
Ashdod	01-2022	1721.8668
Ashdod	02-2022	1906.1414
Ashdod	03-2022	2069.8569
Ashdod	04-2022	1853.5836
Ashdod	05-2022	2106.4728
Ashdod	06-2022	1862.5775
Ashdod	07-2022	1773.8571
Ashdod	08-2022	1982.1437
Ashdod	09-2022	1612.166
Ashdod	10-2022	1478.6821
Ashdod	11-2022	1613.172
Ashdod	12-2022	1754.0651
Ashdod	01-2023	1812.4511
Ashdod	02-2023	1508.8595
Ashdod	03-2023	1710.7294
Ashdod	04-2023	1328.7398
Ashdod	05-2023	1703.8049
Ashdod	06-2023	1825.3082
Ashdod	07-2023	1688.5908
Ashdod	08-2023	1693.7683
Ashdod	09-2023	1601.157
Ashdod	10-2023	1353.3556
Ashdod	11-2023	1405.591
Ashdod	12-2023	1368.1766
Ashdod	01-2024	1322.5438
Ashdod	02-2024	1688.5452
Ashdod	03-2024	1676.0874
Ashdod	04-2024	1550.8673
Ashdod	05-2024	1674.6369
Ashdod	06-2024	1530.2925
Ashdod	07-2024	1701.1657
Ashdod	08-2024	1743.5929
Ashdod	09-2024	1776.1137
Ashdod	10-2024	1431.9027
Ashdod	11-2024	1590.2226
Ashdod	12-2024	2013.6316
Ashdod	01-2025	1870.5075
Ashdod	02-2025	1485.9935
Ashdod	03-2025	1896.0355
Ashdod	04-2025	1655.9042
Ashdod	05-2025	1806.261
Ashdod	06-2025	1755.2606
Ashdod	07-2025	1764.8877
Ashdod	08-2025	1714.34
Ashdod HCT	08-2021	9.6382
Ashdod HCT	09-2021	8.0308
Ashdod HCT	10-2021	9.805
Ashdod HCT	11-2021	8.8452
Ashdod HCT	12-2021	12.4964
Ashdod HCT	01-2022	12.51018
Ashdod HCT	02-2022	16.96818
Ashdod HCT	03-2022	14.7234
Ashdod HCT	04-2022	23.6902
Ashdod HCT	05-2022	56.5516
Ashdod HCT	06-2022	65.319074
Ashdod HCT	07-2022	114.9248
Ashdod HCT	08-2022	140.682368
Ashdod HCT	09-2022	200.77811
Ashdod HCT	10-2022	130.1145656
Ashdod HCT	11-2022	241.208515
Ashdod HCT	12-2022	187.66807
Ashdod HCT	01-2023	258.27823665
Ashdod HCT	02-2023	283.199840693
Ashdod HCT	03-2023	278.018026541
Ashdod HCT	04-2023	391.020456997
Ashdod HCT	05-2023	534.109988779999
Ashdod HCT	06-2023	515.324783153
Ashdod HCT	07-2023	354.18578699562
Ashdod HCT	08-2023	448.523403704
Ashdod HCT	09-2023	484.714013363
Ashdod HCT	10-2023	339.460035671
Ashdod HCT	11-2023	250.56569282
Ashdod HCT	12-2023	145.00131437
Ashdod HCT	01-2024	172.316843482
Ashdod HCT	02-2024	301.566288237
Ashdod HCT	03-2024	404.137175067999
Ashdod HCT	04-2024	447.05243409
Ashdod HCT	05-2024	612.965040907001
Ashdod HCT	06-2024	557.492796
Ashdod HCT	07-2024	618.37839887
Ashdod HCT	08-2024	604.186649428001
Ashdod HCT	09-2024	561.265311859
Ashdod HCT	10-2024	486.900451499
Ashdod HCT	11-2024	560.874918258
Ashdod HCT	12-2024	524.650456194001
Ashdod HCT	01-2025	445.80159
Ashdod HCT	02-2025	500.210112
Ashdod HCT	03-2025	525.431921
Ashdod HCT	04-2025	598.791196
Ashdod HCT	05-2025	542.021422
Ashdod HCT	06-2025	501.414744
Ashdod HCT	07-2025	914.638271
Ashdod HCT	08-2025	604.286009
Eilat	01-2008	85.045
Eilat	02-2008	50.495
Eilat	03-2008	163.359
Eilat	04-2008	125.269
Eilat	05-2008	117.119
Eilat	06-2008	106.398
Eilat	07-2008	31.594
Eilat	08-2008	242.151
Eilat	09-2008	199.81
Eilat	10-2008	215.732
Eilat	11-2008	238.12
Eilat	12-2008	184.141
Eilat	01-2010	194.636
Eilat	02-2010	159.852
Eilat	03-2010	237.368
Eilat	04-2010	152.889
Eilat	05-2010	256.973
Eilat	06-2010	217.668
Eilat	07-2010	114.29
Eilat	08-2010	234.05
Eilat	09-2010	196.002
Eilat	10-2010	226.903
Eilat	11-2010	227.317
Eilat	12-2010	103.06
Eilat	01-2011	119.0712
Eilat	02-2011	105.308
Eilat	03-2011	228.592
Eilat	04-2011	141.897
Eilat	05-2011	195.915
Eilat	06-2011	194.6467
Eilat	07-2011	167.986
Eilat	08-2011	282.561
Eilat	09-2011	202.39
Eilat	10-2011	172.461
Eilat	11-2011	246.87
Eilat	12-2011	222.747
Eilat	01-2012	48.303
Eilat	02-2012	130.151
Eilat	03-2012	178.871
Eilat	04-2012	166.563
Eilat	05-2012	155.191
Eilat	06-2012	178.825
Eilat	07-2012	156.371
Eilat	08-2012	131.236
Eilat	09-2012	132.765
Eilat	10-2012	95.003
Eilat	11-2012	64.619
Eilat	12-2012	123.881
Eilat	01-2013	106.901
Eilat	02-2013	163.9776
Eilat	03-2013	193.7968
Eilat	04-2013	174.816092
Eilat	05-2013	245.630566
Eilat	06-2013	250.75578
Eilat	07-2013	142.539
Eilat	08-2013	124.268081
Eilat	09-2013	118.396766
Eilat	10-2013	181.01236
Eilat	11-2013	153.791166
Eilat	12-2013	226.042491
Eilat	01-2014	190.069302
Eilat	02-2014	228.89929
Eilat	03-2014	231.590419
Eilat	04-2014	235.295668
Eilat	05-2014	227.444230769231
Eilat	06-2014	169.96775
Eilat	07-2014	101.149
Eilat	08-2014	168.511608
Eilat	09-2014	243.89
Eilat	10-2014	188.406
Eilat	11-2014	133.663
Eilat	12-2014	191.3327
Eilat	01-2015	195.553
Eilat	02-2015	181.521
Eilat	03-2015	75.13326
Eilat	04-2015	18.68955
Eilat	05-2015	20.215
Eilat	06-2015	224.006
Eilat	07-2015	314.45752
Eilat	08-2015	246.216
