port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id	L_hours_port_m
Ashdod	2019	2	24230	Q1	134800.0	1858875.069	port_row	0.8984478853594722	monthly_port_specific	42.0	37.73481118509783	45.60911058792181	2955.5498509479307
Ashdod	2019	3	24231	Q1	117963.0	1896987.78	port_row	1.0451286050883564	monthly_port_specific	42.0	43.89540141371097	39.912370269161876	2955.5498509479307
Ashdod	2019	4	24232	Q2	134523.0	2000467.108	port_row	0.9664644442699216	monthly_port_specific	42.0	40.59150665933671	43.24245676314867	3110.9009540512707
Ashdod	2019	5	24233	Q2	129557.0	2054487.8950000005	port_row	1.0306084854117514	monthly_port_specific	42.0	43.28555638729356	41.64613464510345	3110.9009540512707
Ashdod	2019	6	24234	Q2	138893.0	1958733.971	port_row	0.916528780624322	monthly_port_specific	42.0	38.49420878622152	44.64719451100561	3110.9009540512707
Ashdod	2019	7	24235	Q3	149568.0	2197893.836	port_row	0.9550344434920525	monthly_port_specific	42.0	40.1114466266662	46.095116476391816	3244.768891659122
Ashdod	2019	8	24236	Q3	132240.0	2181836.7509999997	port_row	1.0722854729405467	monthly_port_specific	42.0	45.03598986350296	40.75482859193179	3244.768891659122
Ashdod	2019	9	24237	Q3	127738.0	1892738.77	port_row	0.9629895539142916	monthly_port_specific	42.0	40.44556126440025	39.367364599789646	3244.768891659122
Ashdod	2019	10	24238	Q4	113143.0	1792693.28	port_row	1.0297440961756983	monthly_port_specific	42.0	43.24925203937933	39.1237919271144	2891.923160484535
Ashdod	2019	11	24239	Q4	119108.0	1982382.752	port_row	1.080643916471112	monthly_port_specific	42.0	45.3870444917867	41.186433176199515	2891.923160484535
Ashdod	2019	12	24240	Q4	117080.0	1815306.523	port_row	1.0076698503006354	monthly_port_specific	42.0	42.32213371262669	40.48516973057594	2891.923160484535
Ashdod	2020	1	24241	Q1	118457.0	1835242.1	port_row	1.0209050563782418	monthly_port_specific	39.0	39.81529719875143	37.27603637979411	3177.832503248949
Ashdod	2020	2	24242	Q1	125794.0	1933438.078	port_row	1.0127985284720202	monthly_port_specific	39.0	39.49914261040879	39.58484277298784	3177.832503248949
Ashdod	2020	3	24243	Q1	119175.0	1856792.117	port_row	1.026669934802142	monthly_port_specific	39.0	40.04012745728354	37.50197654475433	3177.832503248949
Ashdod	2020	4	24244	Q2	114099.0	1850266.505	port_row	1.0685753952356716	monthly_port_specific	39.0	41.67444041419119	34.27979221685163	3328.4624153558893
Ashdod	2020	5	24245	Q2	121426.0	1997070.614	port_row	1.0820926604088665	monthly_port_specific	39.0	42.20161375594579	36.48110894682185	3328.4624153558893
Ashdod	2020	6	24246	Q2	136483.0	2044783.716	port_row	0.9872372623697332	monthly_port_specific	39.0	38.5022532324196	41.00481933349601	3328.4624153558893
Ashdod	2020	7	24247	Q3	143321.0	2081313.428	port_row	0.9569304574141092	monthly_port_specific	39.0	37.32028783915026	41.405043076073135	3461.4382537092774
Ashdod	2020	8	24248	Q3	145353.0	2099862.499	port_row	0.951961926132625	monthly_port_specific	39.0	37.126515119172375	41.99208229245162	3461.4382537092774
Ashdod	2020	9	24249	Q3	136085.0	1946341.8	port_row	0.9435025975539625	monthly_port_specific	39.0	36.796601304604536	39.31458255948125	3461.4382537092774
Ashdod	2020	10	24250	Q4	144608.0	2106747.689	port_row	0.9600037460903903	monthly_port_specific	39.0	37.44014609752522	40.44986575302741	3574.9933234123782
Ashdod	2020	11	24251	Q4	138073.0	2089987.8	port_row	0.9974421369181232	monthly_port_specific	39.0	38.900243339806806	38.62189031117057	3574.9933234123782
Ashdod	2020	12	24252	Q4	141625.0	2131800.0379999997	port_row	0.9918802982241143	monthly_port_specific	39.0	38.683331630740454	39.61545860030225	3574.9933234123782
Ashdod	2021	1	24253	Q1	133397.0	1978636.9	port_row	1.025554081714941	monthly_port_specific	39.0	39.996609186882694	37.75346767711473	3533.370792343458
Ashdod	2021	2	24254	Q1	119323.0	1874818.0	port_row	1.0845437237913649	monthly_port_specific	39.0	42.29720522786323	33.77030235789681	3533.370792343458
Ashdod	2021	3	24255	Q1	136831.0	2055116.9	port_row	1.0384618723698331	monthly_port_specific	39.0	40.50001302242349	38.72534416611532	3533.370792343458
Ashdod	2021	4	24256	Q2	130945.0	1879225.8	port_row	0.9922670553110088	monthly_port_specific	39.0	38.69841515712934	37.30055024527266	3510.538025282764
Ashdod	2021	5	24257	Q2	139946.0	1939299.0	port_row	0.9581264067797621	monthly_port_specific	39.0	37.36692986441072	39.864544691472965	3510.538025282764
Ashdod	2021	6	24258	Q2	145913.0	2051865.6	port_row	0.9722846959461313	monthly_port_specific	39.0	37.91910314189912	41.564284149364006	3510.538025282764
Ashdod	2021	7	24259	Q3	150512.0	1922524.0	port_row	0.8899065670798347	monthly_port_specific	38.837457939087166	34.56170886868053	43.51632048775009	3458.7483112771297
Ashdod	2021	8	24260	Q3	152686.0	2207186.2	port_row	0.9994896022034748	monthly_port_specific	38.837457939087166	38.817635386132416	44.14487157165283	3458.7483112771297
Ashdod	2021	9	24261	Q3	105359.0	1624674.2	port_row	1.0661864775747538	monthly_port_specific	38.837457939087166	41.407972478033	30.461597814585296	3458.7483112771297
Ashdod	2021	10	24262	Q4	136624.0	1923009.5	port_row	0.9731795172288963	monthly_port_specific	38.704885889404224	37.66680216424992	37.388504271991145	3654.171319775131
