port	date	TEU	tons	LP_port	L_hours
Haifa	2020-04-01		2293926.19		52.0
Haifa	2020-05-01		2317983.4639999997		52.0
Haifa	2020-06-01		1967243.95		52.0
Haifa	2020-07-01		1982088.98		52.0
Haifa	2020-08-01		2307125.04		52.0
Haifa	2020-09-01		2066419.62		52.0
Haifa	2020-10-01		2266698.5		52.0
Haifa	2020-11-01		2028255.749		52.0
Haifa	2020-12-01		2078591.49		52.0
Haifa	2021-01-01		1498345.5		90.16326530612244
Haifa	2021-02-01		1407982.1		90.16326530612244
Haifa	2021-03-01		1500388.3		90.16326530612244
Haifa	2021-04-01		1514385.1		90.16326530612244
Haifa	2021-05-01		1459727.5		90.16326530612244
Haifa	2021-06-01		1498401.0		90.16326530612244
Haifa	2021-07-01		1380398.8		90.16326530612244
Haifa	2021-08-01		1403292.5		90.16326530612244
Haifa	2021-09-01		1291716.4		90.16326530612244
Haifa	2021-10-01		1492880.5		90.16326530612244
Haifa	2021-11-01		1367014.1		90.16326530612244
Haifa	2021-12-01		1424899.7		90.16326530612244
Haifa	2022-01-01		1461499.1		90.16326530612244
Haifa	2022-02-01		1459075.3		90.16326530612244
Haifa	2022-03-01		1592099.4		90.16326530612244
Haifa	2022-04-01		1425364.8		90.16326530612244
Haifa	2022-05-01		1323138.6		90.16326530612244
Haifa	2022-06-01		1286279.2		90.16326530612244
Haifa	2022-07-01		1109435.5		90.16326530612244
Haifa	2022-08-01		1157608.5		90.16326530612244
Haifa	2022-09-01		938265.2		90.16326530612244
Haifa	2022-10-01		926270.6		90.16326530612244
Haifa	2022-11-01		764510.0		90.16326530612244
Haifa	2022-12-01		799310.5		90.16326530612244
Haifa	2023-01-01		926311.6		94.0
Haifa	2023-02-01		816343.7999999999		94.0
Haifa	2023-03-01		889686.5		94.0
Haifa	2023-04-01		992506.2		94.0
Haifa	2023-05-01		1172930.9		94.0
Haifa	2023-06-01		1065118.8		94.0
Haifa	2023-07-01		1067451.6		94.0
Haifa	2023-08-01		1090791.9		94.0
Haifa	2023-09-01		934315.9		94.0
Haifa	2023-10-01		1164266.4		94.0
Haifa	2023-11-01		835100.9		94.0
Haifa	2023-12-01		707471.4		94.0
Haifa	2024-01-01		737276.8999999999		91.0
Haifa	2024-02-01		850760.9		91.0
Haifa	2024-03-01		772148.2999999999		91.0
Haifa	2024-04-01		755350.9		91.0
Haifa	2024-05-01		756037.2999999999		91.0
Haifa	2024-06-01		725921.5		91.0
Haifa	2024-07-01		806388.5		91.0
