month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2019-02	12657215.345412826	HAIFA_TOTAL	1900.767857142857	6659.001149376833
2019-03	12670527.7401539	HAIFA_TOTAL	2245.464285714286	5642.720670626647
2019-04	12700313.059520254	HAIFA_TOTAL	2273.5	5586.238425124369
2019-05	12746535.963957282	HAIFA_TOTAL	2109.482142857143	6042.495314368012
2019-06	12809161.176273588	HAIFA_TOTAL	2000.4821428571431	6403.036998860282
2019-07	12888153.48161398	HAIFA_TOTAL	2076.1607142857147	6207.6858467327465
2019-08	12983477.727432048	HAIFA_TOTAL	1857.25	6990.70008207406
2019-09	13095098.823462332	HAIFA_TOTAL	1829.4285714285716	7158.026843997838
2019-10	13222981.741692036	HAIFA_TOTAL	2064.714285714286	6404.26708585375
2019-11	13367091.516332382	HAIFA_TOTAL	2012.732142857143	6641.266978206714
2019-12	13527393.243789464	HAIFA_TOTAL	2061.125	6563.111525884876
2020-01	13500063.4126006	HAIFA_TOTAL	2384.75	5660.9973425309145
2020-02	13482748.856771592	HAIFA_TOTAL	2318.2115384615386	5816.013177865254
2020-03	13475419.721903209	HAIFA_TOTAL	2484.5	5423.795420367563
2020-04	13478046.286838092	HAIFA_TOTAL	2550.7115384615386	5284.03391900888
2020-05	13490598.96271772	HAIFA_TOTAL	2326.7884615384614	5797.948195856962
2020-06	13513048.29204796	HAIFA_TOTAL	2154.3846153846152	6272.347191652926
2020-07	13545364.94777312	HAIFA_TOTAL	2395.326923076923	5654.912829340802
2020-08	13587519.73235844	HAIFA_TOTAL	2188.019230769231	6209.963578602344
2020-09	13639483.576880883	HAIFA_TOTAL	2179.653846153846	6257.637468880079
2020-10	13701227.540128252	HAIFA_TOTAL	2557.1923076923076	5357.918330550853
2020-11	13772722.807706391	HAIFA_TOTAL	2411.673076923077	5710.858133921809
2020-12	13858422.691154543	HAIFA_TOTAL	2210.9807692307695	6267.997842412749
2021-01	13830870.434196308	HAIFA_TOTAL	2704.936170212766	5113.196602013863
2021-02	13813809.834960813	HAIFA_TOTAL	2615.489361702128	5281.539293270517
2021-03	13807207.77414829	HAIFA_TOTAL	2686.68085106383	5139.132088830397
2021-04	13811031.285742791	HAIFA_TOTAL	2593.2978723404253	5325.663292693204
2021-05	13825247.5559838	HAIFA_TOTAL	2851.297872340426	4848.755961310926
2021-06	13849823.922346102	HAIFA_TOTAL	2768.6595744680853	5002.357115358586
2021-07	13884727.872528091	HAIFA_TOTAL	2580.950719154392	5379.695074951762
2021-08	13929927.04344828	HAIFA_TOTAL	2730.8078815465105	5101.027845122333
2021-09	14119352.120249972	HAIFA_TOTAL	2290.201277614755	6165.114070216257
2021-10	14451954.933901178	HAIFA_TOTAL	2606.1548363861057	5545.317082518922
2021-11	14926695.168703057	HAIFA_TOTAL	2757.3854722550113	5413.350914805498
2021-12	15542540.302860957	HAIFA_TOTAL	2757.3854722550113	5636.6947817963755
2022-01	15504819.510490296	HAIFA_TOTAL	2969.3380083915863	5221.641816011663
2022-02	15478447.602372408	HAIFA_TOTAL	2969.3380083915863	5212.760406066632
2022-03	15463356.892928876	HAIFA_TOTAL	2969.3380083915863	5207.6782263346895
2022-04	15459480.16879537	HAIFA_TOTAL	3304.4263011656717	4678.415785318581
2022-05	15466750.685305675	HAIFA_TOTAL	3304.4263011656717	4680.61602095638
2022-06	15485102.163002478	HAIFA_TOTAL	3304.4263011656717	4686.169625735016
2022-07	15514468.784174835	HAIFA_TOTAL	3154.5523981500437	4918.120489383262
2022-08	15554785.189422032	HAIFA_TOTAL	3154.5523981500437	4930.900877900771
2022-09	15605986.474243635	HAIFA_TOTAL	3154.5523981500437	4947.131797016786
2022-10	15668008.185655598	HAIFA_TOTAL	3898.703183843473	4018.7743069503294
2022-11	15740786.318832122	HAIFA_TOTAL	3898.703183843473	4037.4415739221067
2022-12	15824257.313773192	HAIFA_TOTAL	3898.703183843473	4058.85151230546
2023-01	15778663.17302673	HAIFA_TOTAL	2803.3808012093723	5628.440904717564
