port	terminal	year	month	quarter	TEU_port_m	share_i_p_q	TEU_i_m	Pi_teu_per_hour_i_y	H_annual_i_y	w_i_m_in_year	L_hours_i_m
Ashdod	Ashdod-HCT	2023	12	4.0	109155.08333333331	0.2669329035676304	29137.08333333333	28.0	16963.151785714286	0.0613453285210818	1040.6101190476188
Ashdod	Ashdod-HCT	2024	1	1.0	127665.91666666669	0.266510051299257	34024.25	61.0	11355.196721311477	0.0491206452739916	557.7745901639344
Ashdod	Ashdod-HCT	2024	2	1.0	127665.91666666669	0.266510051299257	34024.25	61.0	11355.196721311477	0.0491206452739916	557.7745901639344
Ashdod	Ashdod-HCT	2024	3	1.0	127665.91666666669	0.266510051299257	34024.25	61.0	11355.196721311477	0.0491206452739916	557.7745901639344
Ashdod	Ashdod-HCT	2024	4	2.0	149082.0	0.4134972699588146	61645.00000000001	61.0	11355.196721311477	0.0889965885483212	1010.5737704918032
Ashdod	Ashdod-HCT	2024	5	2.0	149082.0	0.4134972699588146	61645.00000000001	61.0	11355.196721311477	0.0889965885483212	1010.5737704918032
Ashdod	Ashdod-HCT	2024	6	2.0	149082.0	0.4134972699588146	61645.00000000001	61.0	11355.196721311477	0.0889965885483212	1010.5737704918032
Ashdod	Ashdod-HCT	2024	7	3.0	176031.5	0.4133057625103082	72754.83333333333	61.0	11355.196721311477	0.1050358012339743	1192.7021857923496
Ashdod	Ashdod-HCT	2024	8	3.0	176031.5	0.4133057625103082	72754.83333333333	61.0	11355.196721311477	0.1050358012339743	1192.7021857923496
Ashdod	Ashdod-HCT	2024	9	3.0	176031.5	0.4133057625103082	72754.83333333333	61.0	11355.196721311477	0.1050358012339743	1192.7021857923496
Ashdod	Ashdod-HCT	2024	10	4.0	163254.58333333334	0.3826227441291847	62464.91666666667	61.0	11355.196721311477	0.090180298277046	1024.0150273224044
Ashdod	Ashdod-HCT	2024	11	4.0	163254.58333333334	0.3826227441291847	62464.91666666667	61.0	11355.196721311477	0.090180298277046	1024.0150273224044
Ashdod	Ashdod-HCT	2024	12	4.0	163254.58333333334	0.3826227441291847	62464.91666666667	61.0	11355.196721311477	0.090180298277046	1024.0150273224044
Ashdod	Ashdod-Legacy	2018	1	1.0	121784.0	1.0	121784.0	41.0	36029.53658536585	0.0824418448007766	2970.341463414634
Ashdod	Ashdod-Legacy	2018	2	1.0	108885.0	1.0	108885.0	41.0	36029.53658536585	0.0737098491684667	2655.731707317073
Ashdod	Ashdod-Legacy	2018	3	1.0	122666.0	1.0	122666.0	41.0	36029.53658536585	0.0830389159030091	2991.853658536585
Ashdod	Ashdod-Legacy	2018	4	2.0	117145.0	1.0	117145.0	41.0	36029.53658536585	0.0793014674274697	2857.1951219512193
Ashdod	Ashdod-Legacy	2018	5	2.0	109438.0	1.0	109438.0	41.0	36029.53658536585	0.0740842032722475	2669.2195121951218
Ashdod	Ashdod-Legacy	2018	6	2.0	132217.0	1.0	132217.0	41.0	36029.53658536585	0.0895044783717424	3224.80487804878
Ashdod	Ashdod-Legacy	2018	7	3.0	142318.0	1.0	142318.0	41.0	36029.53658536585	0.0963423640901672	3471.170731707317
Ashdod	Ashdod-Legacy	2018	8	3.0	136641.0	1.0	136641.0	41.0	36029.53658536585	0.092499311201988	3332.7073170731705
Ashdod	Ashdod-Legacy	2018	9	3.0	95956.0	1.0	95956.0	41.0	36029.53658536585	0.0649575449952647	2340.3902439024387
Ashdod	Ashdod-Legacy	2018	10	4.0	137108.0	1.0	137108.0	41.0	36029.53658536585	0.0928154474885442	3344.097560975609
Ashdod	Ashdod-Legacy	2018	11	4.0	130572.0	1.0	130572.0	41.0	36029.53658536585	0.0883908933794833	3184.682926829268
Ashdod	Ashdod-Legacy	2018	12	4.0	122481.0	1.0	122481.0	41.0	36029.53658536585	0.0829136799008401	2987.3414634146343
Ashdod	Ashdod-Legacy	2019	1	1.0	122983.0	1.0	122983.0	42.0	36609.42857142857	0.0799839489696903	2928.1666666666665
Ashdod	Ashdod-Legacy	2019	2	1.0	134800.0	1.0	134800.0	42.0	36609.42857142857	0.0876693227609853	3209.523809523809
Ashdod	Ashdod-Legacy	2019	3	1.0	117963.0	1.0	117963.0	42.0	36609.42857142857	0.0767191121725082	2808.642857142857
Ashdod	Ashdod-Legacy	2019	4	2.0	134523.0	1.0	134523.0	42.0	36609.42857142857	0.087489171407834	3202.9285714285716
Ashdod	Ashdod-Legacy	2019	5	2.0	129557.0	1.0	129557.0	42.0	36609.42857142857	0.084259454369028	3084.690476190476
Ashdod	Ashdod-Legacy	2019	6	2.0	138893.0	1.0	138893.0	42.0	36609.42857142857	0.0903312703727116	3306.9761904761904
Ashdod	Ashdod-Legacy	2019	7	3.0	149568.0	1.0	149568.0	42.0	36609.42857142857	0.0972739263109425	3561.142857142857
Ashdod	Ashdod-Legacy	2019	8	3.0	132240.0	1.0	132240.0	42.0	36609.42857142857	0.0860043860676016	3148.571428571429
Ashdod	Ashdod-Legacy	2019	9	3.0	127738.0	1.0	127738.0	42.0	36609.42857142857	0.0830764388044714	3041.3809523809523
Ashdod	Ashdod-Legacy	2019	10	4.0	113143.0	1.0	113143.0	42.0	36609.42857142857	0.0735843485544967	2693.8809523809527
Ashdod	Ashdod-Legacy	2019	11	4.0	119108.0	1.0	119108.0	42.0	36609.42857142857	0.0774637811232599	2835.904761904762
Ashdod	Ashdod-Legacy	2019	12	4.0	117080.0	1.0	117080.0	42.0	36609.42857142857	0.07614483908647	2787.6190476190477
Ashdod	Ashdod-Legacy	2020	1	1.0	118457.0	1.0	118457.0	39.0	40628.179487179485	0.0747599083369569	3037.358974358974
Ashdod	Ashdod-Legacy	2020	2	1.0	125794.0	1.0	125794.0	39.0	40628.179487179485	0.0793903940614667	3225.487179487179
Ashdod	Ashdod-Legacy	2020	3	1.0	119175.0	1.0	119175.0	39.0	40628.179487179485	0.0752130484146724	3055.7692307692305
Ashdod	Ashdod-Legacy	2020	4	2.0	114099.0	1.0	114099.0	39.0	40628.179487179485	0.0720095121549461	2925.6153846153843
