design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	q4	4	4	-0.3184907685365066	0.10178675559253289	-3.129000101068858	0.001754022479717354	1	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	y2_q5_8	5	8	-0.06155035699264033	0.17814785265267874	-0.34550153749335594	0.7297173546065734	4	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	y3_q9_12	9	12	0.0	0.0			0	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	y4p_q13_40	13	40	0.0	0.0			0	34	0.6930988540622548	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	pre_8_5	-8	-5	-0.1890742952391562	0.020836955999043807	-9.073988314215987	1.1473842498962077e-19	4	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	pre_4_2	-4	-2	-0.17923377630187617	0.043180308924350846	-4.150822001201575	3.312833368753316e-05	3	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q0	0	0	0.3178472598394542	2.1589522492615123e-14	14722292257653.06	0.0	1	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q1	1	1	-0.020321935064384004	1.823943480143432e-14	-1114175701474.3638	0.0	1	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q2	2	2	-0.10257138437867785	1.9871678173877946e-14	-5161687074497.398	0.0	1	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q3	3	3	-0.24403908408015268	1.7430620425805133e-14	-14000596543245.553	0.0	1	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	q4	4	4	-0.04969586566400819	1.3327249678143774e-14	-3728891321478.555	0.0	1	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y2_q5_8	5	8	-0.46921402694426395	0.08065542266593628	-5.817513707512069	5.972936547323446e-09	3	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y3_q9_12	9	12	0.0	0.0			0	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	y4p_q13_40	13	40	0.0	0.0			0	32	0.978766511052472	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	pre_8_5	-8	-5	-0.13815123709872323	0.13454545048706948	-1.0267997661652655	0.3045147595209733	4	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	pre_4_2	-4	-2	-0.17561924500236503	0.06559951686644157	-2.67714235395849	0.0074253079235323425	3	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q0	0	0	0.19780840226991359	0.024188599708158134	8.177753348954647	2.8918495270553376e-16	1	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q1	1	1	-0.07217802221411584	0.04837719941631636	-1.4919843042789305	0.13570326008130953	1	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q2	2	2	-0.1585614855781401	0.07256579912447457	-2.1850718587988567	0.028883578222328343	1	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q3	3	3	-0.3401921907496226	0.0967543988326329	-3.5160384938992983	0.00043803746972325764	1	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	q4	4	4	0.038354966887605535	0.1209429985407909	0.31713259428299534	0.7511429937193214	1	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y2_q5_8	5	8	-0.1783835386001975	0.1864708435458285	-0.9566296543103084	0.33875421566374075	3	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y3_q9_12	9	12	0.0	0.0			0	32	0.7104134149508838	HC1
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	porttr	y4p_q13_40	13	40	0.0	0.0			0	32	0.7104134149508838	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_8_5	-8	-5	-0.8482185323357742	0.030178676352323845	-28.10655187236066	8.146767014075565e-174	2	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	pre_4_2	-4	-2	-1.0696374255617587	0.3856654722267288	-2.7734850604747154	0.0055459386760321255	3	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q0	0	0	0.35199325409143745	6.653297293329639e-14	5290508428720.5	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q1	1	1	-0.6595894915464082	7.419903177467837e-14	-8889462244593.654	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q2	2	2	-0.9642757602457811	6.940110639459345e-14	-13894241898150.791	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q3	3	3	-1.349165844565943	6.671608120480651e-14	-20222498387221.566	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	q4	4	4	-0.7161915072033528	6.607426987825598e-14	-10839189120408.885	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y2_q5_8	5	8	-1.1939061398911768	0.15083755136449226	-7.915178475724228	2.4689865463647335e-15	3	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y3_q9_12	9	12	0.0	0.0			0	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	y4p_q13_40	13	40	0.0	0.0			0	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.6734788568105035	0.05894201695414481	-11.426125056671383	3.096195223667634e-30	2	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	-0.7215335858031873	0.10955193172938364	-6.586224217255496	4.511523601164593e-11	3	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.5057184474370997	0.012577085313096504	40.20951077675331	0.0	1	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	-0.5141914781387622	0.025154170626193014	-20.44159935861034	7.136190695428428e-93	1	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	-0.781230535676003	0.0377312559392896	-20.705129374251936	3.1139768597308305e-95	1	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q3	3	3	-1.104267317869243	0.050308341252386146	-21.949984642295618	8.663071862614118e-107	1	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q4	4	4	-0.46939203304364074	0.06288542656548268	-7.464241855064181	8.378059116420973e-14	1	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y2_q5_8	5	8	-0.9143556699817796	0.13404137213154654	-6.821443674005682	9.013010805314388e-12	3	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y3_q9_12	9	12	0.0	0.0			0	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y4p_q13_40	13	40	0.0	0.0			0	28	0.8349536799473694	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	pre_8_5	-8	-5	0.8482185323357736	0.030178676352323835	28.10655187236065	8.146767014077885e-174	2	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	pre_4_2	-4	-2	1.069637425561756	0.3856654722267279	2.773485060474715	0.005545938676032136	3	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q0	0	0	-0.3519932540914339	1.6432189040545812e-14	-21420959387876.06	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q1	1	1	0.6595894915464082	1.3681966404241064e-14	48208676447411.26	0.0	1	28	0.8970271780336675	HC1
TWFE	privatization_diag	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q2	2	2	0.964275760245783	1.9101188603933878e-14	50482500342789.71	0.0	1	28	0.8970271780336675	HC1
