port	date	TEU	tons	L_hours	LP_port
Ashdod	2021-08-01	312016.4296158592	2207186.2	70.2	0.0
Ashdod	2021-08-01	312016.4296158592	9638.2	70.2	0.0
Ashdod	2021-09-01	215302.90274090163	1624674.2	70.2	0.0
Ashdod	2021-09-01	215302.90274090163	8030.799999999999	70.2	0.0
Ashdod	2021-09-01	215302.90274090163	1624674.2	70.2	0.0
Ashdod	2021-09-01	215302.90274090163	8030.799999999999	70.2	0.0
Ashdod	2021-10-01	273654.53528571076	1923009.5	70.2	0.0
Ashdod	2021-10-01	273654.53528571076	9805.0	70.2	0.0
Ashdod	2021-10-01	273654.53528571076	1923009.5	70.2	0.0
Ashdod	2021-10-01	273654.53528571076	9805.0	70.2	0.0
Ashdod	2021-11-01	276848.13609785447	2204187.1999999997	70.2	0.0
Ashdod	2021-11-01	276848.13609785447	8845.2	70.2	0.0
Ashdod	2021-11-01	276848.13609785447	2204187.1999999997	70.2	0.0
Ashdod	2021-11-01	276848.13609785447	8845.2	70.2	0.0
Ashdod	2021-12-01	276848.13609785447	1927213.6	70.2	0.0
Ashdod	2021-12-01	276848.13609785447	12496.4	70.2	0.0
Ashdod	2021-12-01	276848.13609785447	1927213.6	70.2	0.0
Ashdod	2021-12-01	276848.13609785447	12496.4	70.2	0.0
Ashdod	2022-01-01	254642.16718677903	1721866.8	66.6	0.0
Ashdod	2022-01-01	254642.16718677903	12510.18	66.6	0.0
Ashdod	2022-01-01	254642.16718677903	1721866.8	66.6	0.0
Ashdod	2022-01-01	254642.16718677903	12510.18	66.6	0.0
Ashdod	2022-02-01	254642.16718677903	1906141.4	66.6	0.0
Ashdod	2022-02-01	254642.16718677903	16968.18	66.6	0.0
Ashdod	2022-02-01	254642.16718677903	1906141.4	66.6	0.0
Ashdod	2022-02-01	254642.16718677903	16968.18	66.6	0.0
Ashdod	2022-03-01	254642.16718677903	2069856.9	66.6	0.0
Ashdod	2022-03-01	254642.16718677903	14723.4	66.6	0.0
Ashdod	2022-03-01	254642.16718677903	2069856.9	66.6	0.0
Ashdod	2022-03-01	254642.16718677903	14723.4	66.6	0.0
Ashdod	2022-04-01	268435.98443703866	1853583.6	66.6	0.0
