model	spec_id	dep_scenario	delta	param	beta	se	tvalue	pvalue	n_obs	r2	dep_var	formula	description
2A	2A_baseline	central	0.06	C(time_fe)[T.29]	4.631769923542431	0.09323649083657085	49.677651764706674	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.30]	4.949635604723422	0.11056737401905342	44.76578781612812	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.31]	4.950213125603399	0.1101115589109497	44.95634404383263	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.32]	4.95075098626678	0.10968860955521197	45.13459516299922	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.33]	4.905100797986943	0.10924735453851493	44.89903502658877	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.34]	4.905646120667799	0.10882578836862686	45.077974570244756	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.35]	4.9062032366447745	0.10839936623822453	45.26044207548803	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.36]	4.741004894911092	0.11234134948669595	42.20177981280656	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.37]	4.741512587411411	0.11198612118393246	42.34018052668935	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.38]	4.7420151899762795	0.11163822486205806	42.47662658408971	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.39]	4.844479165106442	0.11130644504161964	43.52379741617835	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.40]	4.844971845324478	0.11097284172173878	43.659077033217784	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.41]	4.843980609241196	0.11276466698447059	42.95654604210631	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	log_KL	0.04981849539181634	6.300957437549165e-09	7906496.097709535	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	Intercept	-1.36852134973769	0.027150551978092935	-50.404918133595	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(unit_id)[T.Haifa--Legacy]	0.015398651948979311				84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.1]	-0.009062213951293474	0.017135201241875543	-0.528865335362794	0.5968988704275568	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.2]	-0.029582711289026817	0.03427029367114507	-0.8632173267290935	0.38801798894877193	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.3]	1.2818669230321573	0.05085403071795422	25.206790984605064	3.3746264726516625e-140	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.4]	1.2728028746105988	0.06798890618034409	18.72074351710297	3.354361795535569e-78	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.5]	1.2613407753582315	0.08457242736362428	14.914326272498014	2.659480382674371e-50	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.6]	3.445318779236592	0.08550816077891189	40.29228026719854	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.7]	3.445020104149238	0.08644344658841434	39.85287769184067	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.8]	3.4447531993922795	0.08729234971823402	39.462257695106175	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.9]	4.440669624057061	0.0882268007661636	50.33243397124436	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.10]	4.44038077895351	0.08913219739773885	49.817921117090684	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.11]	4.4400809152122935	0.09006577096797393	49.29820582772918	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.12]	5.058258218611492	0.09097032964879574	55.603384511627446	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.13]	5.057957744651873	0.09190302420792953	55.035813981575856	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.14]	5.057656958024505	0.09283526837356049	54.47990883887967	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.15]	5.533760481388597	0.09373855761138529	59.0339836924958	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.16]	5.533459083042436	0.09466992060462208	58.45002348900539	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.17]	5.533168190872527	0.09557236846573777	57.895061927403646	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.18]	5.017064737172312	0.0955852222066446	52.48787020995753	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.19]	5.017422427441323	0.09559750999586768	52.4848652193787	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.20]	5.017748452075486	0.09561285743333833	52.479850375498714	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.21]	4.993903356956034	0.09562408762296525	52.22432423770064	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.22]	4.994249528597875	0.09563600750828974	52.22143477878845	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.23]	4.994605714468045	0.0956461282319875	52.21963300337409	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.24]	4.951092777168339	0.09565698727026595	51.75881990909553	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.25]	4.951448191857672	0.0956659971187577	51.757660412100776	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.26]	4.949576390102484	0.09246673279514954	53.52818511569731	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.27]	4.633740378993235	0.09246200316359222	50.11507668501188	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.28]	4.6340845048550845	0.09245475161380293	50.12272948622842	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.29]	4.634418361769106	0.09244893230575717	50.12949577872521	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.30]	4.952430261775004	0.11126460047429114	44.51038551942057	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.31]	4.953152337489694	0.1107260463335812	44.73339834213419	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	high	0.08	C(time_fe)[T.32]	4.9538209190452545	0.11023218940508758	44.9398759634599	0.0	84	0.9983866011514176	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
