terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Bayport	2023	4	2023-04-01	48.71723718811278	3.886032913832124	0.06	central	1601030.7015691488	3018.370483749055	530.4288225017831	6.273685778461941	21
Haifa--Bayport	2023	5	2023-05-01	48.71723718811278	3.886032913832124	0.06	central	1592909.0897297838	3018.370483749055	527.7380952093279	6.268600128841275	22
Haifa--Bayport	2023	6	2023-06-01	48.71723718811278	3.886032913832124	0.06	central	1584560.036704582	3018.370483749055	524.9720156077173	6.263344957566588	23
Haifa--Bayport	2023	7	2023-07-01	46.80826410937859	3.8460597708682944	0.06	central	1576521.976259103	2789.650113378685	565.1325120302267	6.337060238214282	24
Haifa--Bayport	2023	8	2023-08-01	46.80826410937859	3.8460597708682944	0.06	central	1568258.8144377235	2789.650113378685	562.1704338177115	6.331805066939594	25
Haifa--Bayport	2023	9	2023-09-01	46.80826410937859	3.8460597708682944	0.06	central	1560038.96304545	2789.650113378685	559.2238810034885	6.326549895664908	26
Haifa--Bayport	2023	10	2023-10-01	34.38165722348395	3.537523201919321	0.06	central	1552125.2916213337	2389.492214663643	649.5628159390419	6.476299545735963	27
Haifa--Bayport	2023	11	2023-11-01	34.38165722348395	3.537523201919321	0.06	central	1543990.0022661188	2389.492214663643	646.158205827617	6.471044374461276	28
Haifa--Bayport	2023	12	2023-12-01	34.38165722348395	3.537523201919321	0.06	central	1536157.7430408762	2389.492214663643	642.8804135095763	6.465958724840611	29
Haifa--Bayport	2024	1	2024-01-01	54.39438732897602	3.996260974439378	0.06	central	1528128.08709127	2406.315894308943	635.0488274234356	6.453701889516745	30
Haifa--Bayport	2024	2	2024-02-01	54.39438732897602	3.996260974439378	0.06	central	1520140.402986653	2406.315894308943	631.7293612953564	6.448461076633519	31
Haifa--Bayport	2024	3	2024-03-01	54.39438732897602	3.996260974439378	0.06	central	1512705.856382835	2406.315894308943	628.6397641974022	6.443558380710503	32
Haifa--Bayport	2024	4	2024-04-01	52.30615859508527	3.9571141193024366	0.06	central	1504798.7858786923	2087.916666666667	720.7178379782201	6.580247712530466	33
Haifa--Bayport	2024	5	2024-05-01	52.30615859508527	3.9571141193024366	0.06	central	1497186.137071299	2087.916666666667	717.0717878609294	6.5751759581273435	34
Haifa--Bayport	2024	6	2024-06-01	52.30615859508527	3.9571141193024366	0.06	central	1489360.1897506772	2087.916666666667	713.3235792060716	6.569935145244117	35
Haifa--Bayport	2024	7	2024-07-01	44.27021009830393	3.7903119925720454	0.06	central	1481825.6434853007	2266.458008130081	653.8067937591601	6.482811885424804	36
Haifa--Bayport	2024	8	2024-08-01	44.27021009830393	3.7903119925720454	0.06	central	1474079.9870588083	2266.458008130081	650.3892777942899	6.477571072541577	37
Haifa--Bayport	2024	9	2024-09-01	44.27021009830393	3.7903119925720454	0.06	central	1466374.817982323	2266.458008130081	646.9896255400475	6.472330259658352	38
Haifa--Bayport	2024	10	2024-10-01	49.02924397763479	3.892416935956961	0.06	central	1458956.5527537374	2260.8255284552847	645.3202754440647	6.469746744631151	39
Haifa--Bayport	2024	11	2024-11-01	49.02924397763479	3.892416935956961	0.06	central	1451330.4354379168	2260.8255284552847	641.947119391182	6.464505931747925	40
Haifa--Bayport	2024	12	2024-12-01	49.02924397763479	3.892416935956961	0.06	central	1443988.2784584244	2260.8255284552847	638.6995636257847	6.459434177344803	41
Haifa--Bayport	2021	7	2021-07-01	0.3132552315866705	-1.1607369843504618	0.08	high	119127.65551325648	2580.950719154392	46.156501412117926	3.832037826695677	0
Haifa--Bayport	2021	8	2021-08-01	0.3132552315866705	-1.1607369843504618	0.08	high	192809.3861292677	2730.8078815465105	70.6052547424449	4.25710457150911	1
Haifa--Bayport	2021	9	2021-09-01	0.3132552315866705	-1.1607369843504618	0.08	high	312064.0561536793	2290.201277614755	136.26053709947018	4.914568767062913	2
Haifa--Bayport	2021	10	2021-10-01	1.168595606909555	0.15580269185469597	0.08	high	497294.50736521767	2606.1548363861057	190.81541143380585	5.251306528466113	3
Haifa--Bayport	2021	11	2021-11-01	1.168595606909555	0.15580269185469597	0.08	high	804876.4854595361	2757.3854722550113	291.8984282604861	5.676405893331993	4
Haifa--Bayport	2021	12	2021-12-01	1.168595606909555	0.15580269185469597	0.08	high	1282623.3827113206	2757.3854722550113	465.1592588766275	6.14237983915809	5
Haifa--Bayport	2022	1	2022-01-01	10.344218571662008	2.336427771530732	0.08	high	1307522.590589367	2969.3380083915863	440.3414454313399	6.087550438314362	6
Haifa--Bayport	2022	2	2022-02-01	10.344218571662008	2.336427771530732	0.08	high	1332905.1598042725	2969.3380083915863	448.8896703700879	6.106777134540924	7
Haifa--Bayport	2022	3	2022-03-01	10.344218571662008	2.336427771530732	0.08	high	1356254.6121118227	2969.3380083915863	456.7531915460412	6.124143182745562	8
Haifa--Bayport	2022	4	2022-04-01	27.865006081181804	3.3273716392587556	0.08	high	1382583.2023883746	3304.4263011656717	418.4034008870628	6.036446041032838	9
Haifa--Bayport	2022	5	2022-05-01	27.865006081181804	3.3273716392587556	0.08	high	1408549.0265800883	3304.4263011656717	426.26129264350897	6.055052521252093	10
