port	terminal	year	quarter	month_coverage_in_q	is_partial_quarter	quarter_abs_gap_TEU	quarter_rel_gap_TEU	quarter_sum_ok	preopen_zero_ok	annual_sum_ok_TEU
Ashdod	Ashdod-Legacy	2018	3	3	False	0.0	0.0	1.0		True
Ashdod	Ashdod-Legacy	2018	4	3	False	0.0	0.0	1.0		True
Ashdod	Ashdod-Legacy	2019	1	3	False	0.0	0.0	1.0		True
Ashdod	Ashdod-Legacy	2019	2	3	False	0.0	0.0	1.0		True
Ashdod	Ashdod-Legacy	2019	3	3	False	0.0	0.0	1.0		True
Ashdod	Ashdod-Legacy	2019	4	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2018	1	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2018	2	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2018	3	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2018	4	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2019	1	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2019	2	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2019	3	3	False	0.0	0.0	1.0		True
Eilat	Eilat	2019	4	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2018	1	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2018	2	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2018	3	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2018	4	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2019	1	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2019	2	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2019	3	3	False	0.0	0.0	1.0		True
Haifa	Haifa-Legacy	2019	4	3	False	0.0	0.0	1.0		True
