port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	tons_i_q	tons_i_y	TEU_i_q	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_weight_q_in_y	L_hours_i_q	tons_weight_m_in_q	L_hours_i_m	w_i_m_in_year	anchor_mode	labor_weight_source_q	labor_weight_source	teu_month_source	kpi_backfill_source
Ashdod	Ashdod-HCT	2024	5	202405	Q2	158821.14582077647	0.13783242331960488	70082.2071258096	1674636.9	612965.040907001	1617510.2709970009	5851786.7638920015	184935.0	692667.0	61.0	11355.196721311475	20242	0.27641305745754835	3138.7246437696335	0.378955887883903	1189.4381842028085	0.10474835561152952	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	6	202406	Q2	145050.52740759682	0.13783242331960488	63739.89215209821	1530292.5	557492.796	1617510.2709970009	5851786.7638920015	184935.0	692667.0	61.0	11355.196721311475	20242	0.27641305745754835	3138.7246437696335	0.3446610547062385	1081.7961461541045	0.09526881591789471	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	7	202407	Q3	173270.238837125	0.1377685875034361	75663.05353625775	1701165.7	618378.3988699999	1783830.3601570008	5851786.7638920015	218264.5	692667.0	61.0	11355.196721311475	20243	0.3048351609740786	3461.463220433313	0.34665762657810933	1199.9426244828312	0.10567343340082999	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	8	202408	Q3	176637.6558695013	0.1377685875034361	73926.59071710799	1743592.9000000001	604186.649428001	1783830.3601570008	5851786.7638920015	218264.5	692667.0	61.0	11355.196721311475	20243	0.3048351609740786	3461.463220433313	0.33870185356348825	1172.4040088026045	0.10324823405324475	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	9	202409	Q3	178186.60529337375	0.1377685875034361	68674.85574663429	1776113.7000000002	561265.311859	1783830.3601570008	5851786.7638920015	218264.5	692667.0	61.0	11355.196721311475	20243	0.3048351609740786	3461.463220433313	0.31464051985840247	1089.1165871478775	0.09591349352000388	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	10	202410	Q4	140530.84796913754	0.12754091470972825	58026.64067054409	1431902.7000000002	486900.45149899996	1572425.825951001	5851786.7638920015	187394.75	692667.0	61.0	11355.196721311475	20244	0.2687086678642382	3051.2397843199715	0.3096492333458866	944.8140599691476	0.08320543299755583	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	11	202411	Q4	156710.64569091419	0.12754091470972825	66842.59019000847	1590222.6	560874.9182579999	1572425.825951001	5851786.7638920015	187394.75	692667.0	61.0	11355.196721311475	20244	0.2687086678642382	3051.2397843199715	0.3566940386003795	1088.3590414072416	0.09584677994742313	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	12	202412	Q4	192522.25633994828	0.12754091470972825	62525.51913944745	2013631.5999999999	524650.456194001	1572425.825951001	5851786.7638920015	187394.75	692667.0	61.0	11355.196721311475	20244	0.2687086678642382	3051.2397843199715	0.3336567280537339	1018.0666829435825	0.08965645491925923	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-Legacy	2018	1	201801	Q1	121784.0	0.3333333333333333	121784.0	2003195.046	2003195.046	5755743.407000001	23475047.112999998	353335.0	1477211.0	41.0	36029.53658536585	20181	0.24518559555148192	8833.923385126833	0.34803411207729673	3074.5066815014848	0.08533295104190321	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
Ashdod	Ashdod-Legacy	2018	2	201802	Q1	108885.0	0.3333333333333333	108885.0	1853087.047	1853087.047	5755743.407000001	23475047.112999998	353335.0	1477211.0	41.0	36029.53658536585	20181	0.24518559555148192	8833.923385126833	0.3219544229067472	2844.120705460928	0.07893858692082449	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	observed_port_month_pre_entry	
