design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	pre_4_2	-4	-2	0.5601460842517502	0.02634382234115492	21.262900918393957	2.5044687938087095e-100	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q0	0	0	-0.10745951068034643	0.02634382234115489	-4.079116131620386	4.520725091768339e-05	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q1	1	1	-0.8048321485090941	0.026343822341154732	-30.551077140076696	5.471358961595229e-205	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q2	2	2	0.38069344669779337	0.026343822341154927	14.450957107430279	2.4722635441898423e-47	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q3	3	3	0.5598907221476384	0.026343822341154764	21.253207484358395	3.0789671273819164e-100	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q4	4	4	0.7821014689519683	0.026343822341154805	29.688230463434113	1.08951812756668e-193	1	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y2_q5_8	5	8	0.6315922792227875	0.21355553815968714	2.957508312196106	0.0031013638711620863	4	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y3_q9_12	9	12	0.0	0.0			0	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y4p_q13_40	13	40	0.0	0.0			0	31	0.9406259958408599	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	pre_8_5	-8	-5	0.5999009016592671	0.14897976134376115	4.02672749807294	5.655851577109416e-05	4	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	pre_4_2	-4	-2	0.5148235702671107	0.10013932906340675	5.141072694237166	2.731743275168493e-07	1	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q0	0	0	0.4279507931049369	0.01932548859491731	22.144371201951905	1.1819887646187188e-108	1	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q1	1	1	0.20857539556740345	0.013070813320054591	15.957338725615916	2.533042577244686e-57	1	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q2	2	2	0.3464698580525505	0.02919944424835903	11.865631931402998	1.7854923504092375e-32	1	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q3	3	3	0.23090686881927747	0.04918087697599762	4.695053911543097	2.6653641937366493e-06	1	31	0.24910611499668867	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q4	4	4	0.10235962628448303	0.06978036620707342	1.4668829048665433	0.1424079116978914	1	31	0.24910611499668867	HC1
