series_id	series_display	is_main_series	reform	reform_display	spec_name	event_bin	event_kind	event_time	is_reference	beta	se	pvalue	n_obs	r2
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-6	exact	-6.0	0	-1.62450372386773	0.008589350259002567	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-5	exact	-5.0	0	-1.640002953608837	0.006871480207207652	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-4	exact	-4.0	0	-1.1992542973430655	0.0051536101554155705	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-3	exact	-3.0	0	-1.1167032339347922	0.0034357401036205423	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-2	exact	-2.0	0	-0.05006735450233801	0.00171787005184661	9.661128907233238e-187	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-1	reference	-1.0	1	0.0	0.0		84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	0	exact	0.0	0	-0.4393490304263441	0.001717870051846017	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	1	exact	1.0	0	-0.5245186317726309	0.003435740103619831	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	2	exact	2.0	0	2.977378613964337	0.005153610155409306	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	3	exact	3.0	0	-0.18391246654332466	0.006871480207199056	8.348573294110306e-158	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	4	exact	4.0	0	-1.6095875778976794	0.008589350258995666	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	5	exact	5.0	0	-1.3942705399266366	0.010307220310792942	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	6	exact	6.0	0	-1.325883860195523	0.012025090362588864	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	7	exact	7.0	0	-1.8024854156246903	0.013742960414386756	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	8	exact	8.0	0	-0.8357240960711421	0.015460830466184114	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	9	exact	9.0	0	-0.8396628649685103	0.010199853432550162	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	10	exact	10.0	0	-0.3392352834309582	0.008481983380752005	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	11	exact	11.0	0	-0.16363770853347637	0.0067641133289542505	2.6980548860114088e-129	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	12	exact	12.0	0	0.20060985383678753	0.005046243277156305	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	13	exact	13.0	0	0.06610363571365552	0.0033283732253584384	8.916000292116939e-88	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	14	exact	14.0	0	0.8148576501303344	0.0016105031735606792	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	15	exact	15.0	0	-0.054343013524146055	0.00010736687824025765	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	16	exact	16.0	0	0.6546515843199816	0.001825236930035294	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	17	exact	17.0	0	-0.0233932152990044	0.003543106981832858	4.043956650246434e-11	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	18	exact	18.0	0	-0.21087838020268146	0.005260977033631068	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	19	exact	19.0	0	-0.24158716446724826	0.006978847085428704	1.3992285876308456e-262	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	20	exact	20.0	0	-0.32917768429757155	0.008696717137226403	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	21	exact	21.0	0	-0.2500711562559319	0.01041458718902425	2.1026455808552524e-127	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	22	exact	22.0	0	-0.4138065597502698	0.012132457240821973	5.729925757850783e-255	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	23	exact	23.0	0	-0.15650495154364297	0.01385032729261996	1.3162283619899576e-29	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	24	exact	24.0	0				84	0.9923175883783979
