table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-0.3508380588574599	4.214684851089457e-08	0.0	84	0.9683680856562481	1.0	6.0	6.0	-0.351*** (0.000)
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.34346574372857624	0.007730415233098484	0.0	84	0.9923175883783979	1.0	6.0	6.0	-0.343*** (0.008)
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.21928346973109855			84	0.7222217556872796	1.0	6.0	6.0	-0.219
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	-0.25215825548070403	0.016935301232639033	0.0	84	0.78118418203827	1.0	6.0	6.0	-0.252*** (0.017)
main	privatization	2	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-1.5046081599478436	4.214684851089388e-08	0.0	84	0.9683680856562481	7.0	12.0	6.0	-1.505*** (0.000)
main	privatization	2	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.630022585798665	0.00021473375653020019	0.0	84	0.9923175883783979	7.0	12.0	6.0	-0.630*** (0.000)
main	privatization	2	post_7_12	Average post, months 7-12	3	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.30271467173131617			84	0.7222217556872796	7.0	12.0	6.0	-0.303
main	privatization	2	post_7_12	Average post, months 7-12	3	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	-0.19949562749773045	0.00047042503414763856	0.0	84	0.78118418203827	7.0	12.0	6.0	-0.199*** (0.000)
main	privatization	2	post_13_24	Average post, months 13-24	4	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-1.3303072887823868	4.214684851089464e-08	0.0	84	0.9683680856562481	13.0	23.0	11.0	-1.330*** (0.000)
main	privatization	2	post_13_24	Average post, months 13-24	4	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.01310447774332045	0.00526097703363083	0.012742610875276394	84	0.9923175883783979	13.0	23.0	11.0	-0.013** (0.005)
main	privatization	2	post_13_24	Average post, months 13-24	4	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.12197846867051602			84	0.7222217556872796	13.0	23.0	11.0	-0.122
main	privatization	2	post_13_24	Average post, months 13-24	4	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	0.009107196860701433	0.011525413338889528	0.4294203366348368	84	0.78118418203827	13.0	23.0	11.0	0.009 (0.012)
main	privatization	2	post_full	Average full post	5	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-1.1202633691060033	4.2146848510894385e-08	0.0	84	0.9683680856562481	1.0	23.0	23.0	-1.120*** (0.000)
