entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa port cluster	Haifa		2019	12.0	24240.0	24	62.85077480338554	4.1407632627786555	13527393.243789464	1836.4610517702415	7366.011509337399	8.904631659498685	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	1.0	24241.0	25	46.45318980060959	3.838445134605167	13500063.4126006	2669.5045169615605	5057.142000256445	8.528556780625722	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	2.0	24242.0	26	48.764420068324455	3.8870009499780855	13482748.856771592	2472.02775776068	5454.125187083306	8.604127516402711	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	3.0	24243.0	27	47.33469164587895	3.857243465265329	13475419.721903209	2729.3723801250935	4937.186226412095	8.504550858108955	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	4.0	24244.0	28	55.01997933001334	4.00769637981503	13478046.286838092	2410.7061037670483	5590.912250056884	8.628897746046905	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	5.0	24245.0	29	49.668961989972054	3.905380230772685	13490598.96271772	2435.988093015271	5538.039779997048	8.619395886803167	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	6.0	24246.0	30	54.18805172289256	3.9924604362262754	13513048.29204796	2067.393021858213	6536.274500869781	8.785122633955025	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	7.0	24247.0	31	59.79710585763935	4.090957262755969	13545364.94777312	2082.993787300281	6502.835020611822	8.779993517812109	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	8.0	24248.0	32	46.92653827795888	3.8485833635646514	13587519.73235844	2424.5768849614974	5604.078722615642	8.631249954934184	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2020	9.0	24249.0	33	52.192431206096856	3.954937488323865	13639483.576880883	2171.6175579642277	6280.794482831107	8.745251761465482	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
