port	company	operator_or_owner	month	year	imputed_2022	flows_imputed_annual	gap_years_from_prev_annual	K_big_central	K_PIM_real_central	gap_PathB_minus_PIM_central	K_bg_low	K_bg_central	K_bg_high	K_PathB_low	K_PathB_central	K_PathB_high	lumpy_event_month	num_projects_commissioned	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	K_PIM_real_low	K_PIM_real_high	flows_imputed_flag	gap_years_from_prev
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-04-01	2023	0	True	1	221678.17983964743			890783.6384177048	799840.0734359391	714853.9182036286	1112461.8182573523	1021518.2532755865	936532.098043276	0	0	1140796.6820882051	1050128.4396824802	965510.4822668644				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-05-01	2023	0	True	1	221133.27432177454			887327.7578700962	794922.079269524	708711.6050370556	1108461.0321918707	1016055.3535912985	929844.8793588302	0	0	1143788.0442591934	1051682.9033336807	965873.8163335324				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-06-01	2023	0	True	1	220589.78110991797			883770.7659360518	789871.9179375728	702419.9882080052	1104360.5470459699	1010461.6990474907	923009.7693179231	0	0	1146879.118502548	1053289.1824399214	966249.2615357562				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-07-01	2023	0	True	1	220047.6963314053			880342.0924997404	785015.2151870532	696384.5123825722	1100389.7888311457	1005062.9115184585	916432.2087139775	0	0	1149870.4806735362	1054843.646091122	966612.5956024243				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-08-01	2023	0	True	1	219507.01612476938			876813.1036966202	780027.9924288503	690202.3298326388	1096320.1198213897	999535.0085536196	909709.3459574082	0	0	1152961.5549168906	1056449.925197363	966988.040804648				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-09-01	2023	0	True	1	304328.3781904119			873298.261396409	775072.4536308544	684075.0298661075	1177626.639586821	1079400.8318212663	988403.4080565195	1	1	1156052.6291602452	1058056.2043036034	967363.4860068716				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-10-01	2023	0	True	1	303571.88528885285			869910.2170457295	770306.7486704477	678197.1813212886	1173482.1023345822	1073878.6339593006	981769.0666101414	0	0	1159043.9913312334	1059610.667954804	967726.82007354				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-11-01	2023	0	True	1	302817.3453069803			866423.046045014	765412.969195293	672176.4575613163	1169240.3913519944	1068230.3145022732	974993.8028682966	0	0	1162135.065574588	1061216.9470610446	968102.2652757636				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-12-01	2023	0	True	1	302064.7529939835	1062771.4107122452	2.3283064365386963e-10	863061.6747515926	760706.6577182619	666400.8463484487	1165126.427745576	1062771.4107122454	968465.5993424321	0	0	1165126.4277455762	1062771.4107122452	968465.5993424316	1165126.4277455762	968465.5993424316	True	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-01-01	2024	0	True	1	301314.10311376007			864049.7047087419	760245.7697627508	664758.4572855713	1165363.807822502	1061559.872876511	966072.5603993314	0	0	1165368.369481011	1061559.8058533622	966092.6833839738				
