port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_SIPG_low	K_SIPG_central	K_SIPG_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-06-01	2019	1159404.613948323	1147556.4791539412	1135538.5122810337	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	0.0	0.0	0.0	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-06-01	2019	13064286.982805494	12939339.253773548	12813120.27638655	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	0.0	0.0	0.0	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-06-01	2019	11904882.368857171	11791782.774619607	11677581.764105516	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	0.0	0.0	0.0	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-06-01	2019	0.0	0.0	0.0	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	0.0	0.0	0.0	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-07-01	2019	1157461.5565584511	1143692.731990658	1129759.0924017322	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	0.0	0.0	0.0	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-07-01	2019	13114620.347983835	12968634.51609541	12821408.217931937	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	0.0	0.0	0.0	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-07-01	2019	11957158.791425385	11824941.784104751	11691649.125530206	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	0.0	0.0	0.0	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-07-01	2019	0.0	0.0	0.0	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	0.0	0.0	0.0	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-08-01	2019	1155488.5102024933	1139744.4780604609	1123850.3539878898	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	0.0	0.0	0.0	13166907.443568692	12999048.533643642	12830053.556154948
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-08-01	2019	13166907.443568692	12999048.533643642	12830053.556154948	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	0.0	0.0	0.0	13166907.443568692	12999048.533643642	12830053.556154948
