port	company	operator_or_owner	month	year	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	flows_imputed_annual	gap_years_from_prev_annual	K_PIM_real_low	K_PIM_real_central	K_PIM_real_high
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-01-01	2023	11882059.70523339	10982501.742157474	10137474.69248648	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-02-01	2023	11872543.773918997	10957065.763209408	10098599.949469253	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-03-01	2023	11863955.289748203	10934141.969568925	10063615.42750255	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-04-01	2023	11854453.857635004	10908817.994077444	10025023.916752968	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-05-01	2023	11845266.168527031	10884366.766444726	9987818.204532249	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-06-01	2023	11835779.703885617	10859158.072612064	9949517.357646575	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-07-01	2023	11826606.488014543	10834818.153651344	9912591.871720798	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-08-01	2023	11817134.967266949	10809724.216683874	9874579.499474507	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-09-01	2023	11807671.031933215	10784688.3984281	9836712.895404946	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-10-01	2023	11798519.601438526	10760515.397180755	9800206.058890304	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-11-01	2023	11789070.574508512	10735593.54881329	9762624.658826446	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2023-12-01	2023	11779933.560133	10711530.589675384	9726392.78480885	False	1	11779933.560133006	10711530.589675376	9726392.784808837
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-01-01	2024	11756363.059251605	10672945.541665083	9675675.118132947	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-02-01	2024	11732839.72064909	10634499.484615698	9625221.915556937	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-03-01	2024	11710876.629538303	10598659.204288859	9578261.957800504	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-04-01	2024	11687444.304855874	10560480.741293432	9528316.710054707	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-05-01	2024	11664812.504103994	10523664.79011087	9480230.583367871	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-06-01	2024	11641472.34925458	10485756.4718018	9430796.51409107	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-07-01	2024	11618929.569516338	10449201.024390375	9383202.538183887	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-08-01	2024	11595681.221954683	10411560.939267116	9334274.415578417	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-09-01	2024	11572479.392074464	10374056.44116196	9285601.425607242	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-10-01	2024	11550070.211677527	10337890.402431436	9238740.199212058	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-11-01	2024	11526959.64499094	10300651.280145034	9190565.366435332	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2024-12-01	2024	11504638.60994207	10264741.146509245	9144183.754238533	False	1	11504638.609942077	10264741.146509243	9144183.754238518
