table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	competition	1	r2	R-squared	8	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				37	0.5299088678305968				0.530
main	competition	1	r2	R-squared	8	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3				37	0.41374535261883516				0.414
main	competition	1	r2	R-squared	8	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4				37	0.4978796090623645				0.498
main	privatization	2	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-1.6637871322042086	0.08724959300873461	0.0	36	0.38566208654351175	-12.0	-2.0	11.0	-1.664*** (0.087)
main	privatization	2	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-2.084945424121241	0.3009171707807418	4.249267604450324e-12	36	0.41367420760795404	-12.0	-2.0	11.0	-2.085*** (0.301)
main	privatization	2	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	-0.3191896357281407	0.020622800394925093	0.0	36	0.3891558601684115	-12.0	-2.0	11.0	-0.319*** (0.021)
main	privatization	2	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	-0.42147815769237573	0.08116657080931927	2.0720421378683795e-07	36	0.424018345076833	-12.0	-2.0	11.0	-0.421*** (0.081)
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-0.3508380588574571	0.4542486573651145	0.43990832135737823	36	0.38566208654351175	1.0	6.0	6.0	-0.351 (0.454)
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.03496933991968554	0.47230154527467305	0.940978332267502	36	0.41367420760795404	1.0	6.0	6.0	-0.035 (0.472)
main	privatization	2	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	-0.21928346973111257	0.08236758683875771	0.007761919222837754	36	0.3891558601684115	1.0	6.0	6.0	-0.219*** (0.082)
