family	series_id	series_display	is_main_series	reform	reform_display	spec_name	event_time	event_token	is_reference	observed_in_sample	beta	se	pvalue	n_obs	r2
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	8	8	0	1	-0.00624753904486397	1.8223897527643354e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	9	9	0	1	0.2995861648188554	1.5813567179958502e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	10	10	0	1	0.48099397101344543	1.581356717995852e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	11	11	0	1	0.6423913143652219	1.432144669219781e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	12	12	0	1	0.534171804215255	1.5280799322856778e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	13	13	0	1	0.3729673387379265	1.5280799322856737e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	14	14	0	1	0.1680933651259382	1.4782234971282976e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	15	15	0	1	0.6778306768800042	1.4321446692197718e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	16	16	0	1	0.22636618872968128	1.696862488257875e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	17	17	0	1	0.7010486436834327	1.528079932285677e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	18	18	0	1	0.6804139505282691	1.6377200852866827e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	19	19	0	1	0.5245018343945315	1.581356717995852e-14	0.0	36	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	20	20	0	1	0.5435768706576498	1.637720085286687e-14	0.0	36	1.0
