port	year	month	month_index	quarter	tons_port_m	TEU_port_m	L_hours_port_m
Ashdod	2022	1	202201	Q1	1721866.8	114745.83031068169	3817.5627370158663
Ashdod	2022	2	202202	Q1	1906141.4	128260.90539276735	3817.5627370158663
Ashdod	2022	3	202203	Q1	2069856.9000000001	137811.264296551	3817.5627370158663
Ashdod	2022	4	202204	Q2	1853583.5999999999	124936.18079157535	3916.0474346963283
Ashdod	2022	5	202205	Q2	2106472.8	145440.31200711883	3916.0474346963283
Ashdod	2022	6	202206	Q2	1862577.5	130388.50720130584	3916.0474346963283
Ashdod	2022	7	202207	Q3	1773857.0999999999	141626.12704400037	3687.016001634623
Ashdod	2022	8	202208	Q3	1982143.7000000002	158942.42482064283	3687.016001634623
Ashdod	2022	9	202209	Q3	1612166.0	134109.44813535683	3687.016001634623
Ashdod	2022	10	202210	Q4	1478682.1	115031.31920027958	3343.6356509775055
Ashdod	2022	11	202211	Q4	1613172.0	128513.84312750891	3343.6356509775055
Ashdod	2022	12	202212	Q4	1754065.1	137468.0876722115	3343.6356509775055
Ashdod	2023	1	202301	Q1	1812451.1	139548.6269570134	4253.721456777668
Ashdod	2023	2	202302	Q1	1508859.5	118621.65851935084	4253.721456777668
Ashdod	2023	3	202303	Q1	1710729.4	132945.7145236358	4253.721456777668
Ashdod	2023	4	202304	Q2	1328739.8	120607.07626327378	4226.800912396677
Ashdod	2023	5	202305	Q2	1703804.9000000001	155288.09704820722	4226.800912396677
Ashdod	2023	6	202306	Q2	1825308.2	165254.57668851904	4226.800912396677
Ashdod	2023	7	202307	Q3	1688590.8	145097.3971894218	4334.829913587811
Ashdod	2023	8	202308	Q3	1693768.3	149031.02701186234	4334.829913587811
Ashdod	2023	9	202309	Q3	1601157.0	143153.8257987158	4334.829913587811
Ashdod	2023	10	202310	Q4	1353355.6	112121.43516112329	3525.1745029521317
Ashdod	2023	11	202311	Q4	1405591.0	111537.45673975603	3525.1745029521317
Ashdod	2023	12	202312	Q4	1368176.6	103806.35809912065	3525.1745029521317
Ashdod	2024	1	202401	Q1	1322543.7999999998	104861.55907122328	3457.9511416800383
Ashdod	2024	2	202402	Q1	1688545.2	137347.67277316542	3457.9511416800383
Ashdod	2024	3	202403	Q1	1676087.4	140788.5181556113	3457.9511416800383
Ashdod	2024	4	202404	Q2	1550867.2999999998	143374.32677162674	3299.6071285426274
Ashdod	2024	5	202405	Q2	1674636.9	158821.14582077647	3299.6071285426274
Ashdod	2024	6	202406	Q2	1530292.5	145050.52740759682	3299.6071285426274
Ashdod	2024	7	202407	Q3	1701165.7	173270.238837125	3622.57892619834
Ashdod	2024	8	202408	Q3	1743592.9000000001	176637.6558695013	3622.57892619834
Ashdod	2024	9	202409	Q3	1776113.7000000002	178186.60529337375	3622.57892619834
Ashdod	2024	10	202410	Q4	1431902.7000000002	140530.84796913754	3540.323114191592
Ashdod	2024	11	202411	Q4	1590222.6	156710.64569091419	3540.323114191592
Ashdod	2024	12	202412	Q4	2013631.5999999999	192522.25633994828	3540.323114191592
Haifa	2018	1	201801	Q1	2432458.313	112403.0	2328.0509464562333
Haifa	2018	2	201802	Q1	2617941.7199999997	112638.0	2328.0509464562333
Haifa	2018	3	201803	Q1	2530486.29	126799.0	2328.0509464562333
Haifa	2018	4	201804	Q2	2830216.76	130683.0	2443.263640406322
Haifa	2018	5	201805	Q2	2650406.0009999997	127879.0	2443.263640406322
Haifa	2018	6	201806	Q2	2475433.3310000002	131558.0	2443.263640406322
Haifa	2018	7	201807	Q3	2246470.07	135914.0	2083.374379524898
Haifa	2018	8	201808	Q3	2254746.21	127701.0	2083.374379524898
Haifa	2018	9	201809	Q3	2282924.06	111052.0	2083.374379524898
Haifa	2018	10	201810	Q4	2442325.644	121552.0	2214.1381941063732
Haifa	2018	11	201811	Q4	2369774.08	119024.0	2214.1381941063732
Haifa	2018	12	201812	Q4	2397849.86	111947.0	2214.1381941063732
Haifa	2019	1	201901	Q1	2470007.68	123013.0	2148.707040602077
Haifa	2019	2	201902	Q1	2325576.96	106443.0	2148.707040602077
Haifa	2019	3	201903	Q1	2816989.27	125746.0	2148.707040602077
Haifa	2019	4	201904	Q2	2526060.42	127316.0	2098.7219331547817
Haifa	2019	5	201905	Q2	2426771.23	118131.0	2098.7219331547817
Haifa	2019	6	201906	Q2	2482651.89	112027.0	2098.7219331547817
Haifa	2019	7	201907	Q3	2459658.8200000003	116265.0	1938.2624355949836
Haifa	2019	8	201908	Q3	2214668.53	104006.0	1938.2624355949836
Haifa	2019	9	201909	Q3	2192670.23	102448.0	1938.2624355949836
Haifa	2019	10	201910	Q4	2862368.2199999997	115624.0	2023.56454302911
Haifa	2019	11	201911	Q4	2138066.59	112713.0	2023.56454302911
Haifa	2019	12	201912	Q4	2168776.42	115423.0	2023.56454302911
Haifa	2020	1	202001	Q1	2540187.838	124007.0	2623.634884949111
