port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_port_q	activity_i_q_raw	activity_i_y	w_i_q_in_year	L_hours_i_q	active_months_in_q	is_active_month	w_i_m_in_year	L_hours_i_m	anchor_mode	labor_weight_source	teu_month_source	kpi_backfill_source
Haifa	Haifa-Legacy	2019	11	201911	Q4	112713.0	0.3333333333333333	112713.0	2138066.59	2138066.59	1379155.0	56.0	24627.76785714286	20194	14338422.459999999	4779474.153333332	19389510.84	0.24649792316954255	6070.69362908733	3	1.0	0.08216597438984752	2023.56454302911	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	12	201912	Q4	115423.0	0.3333333333333333	115423.0	2168776.42	2168776.42	1379155.0	56.0	24627.76785714286	20194	14338422.459999999	4779474.153333332	19389510.84	0.24649792316954255	6070.69362908733	3	1.0	0.08216597438984752	2023.56454302911	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	1	202001	Q1	124007.0	0.3333333333333333	124007.0	2540187.838	2540187.838	1464434.0	52.0	28162.19230769231	20201	14979241.392	4993080.464	17865302.452666666	0.27948479894079303	7870.904654847333	3	1.0	0.093161599646931	2623.634884949111	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	2	202002	Q1	120547.0	0.3333333333333333	120547.0	2352277.288	2352277.288	1464434.0	52.0	28162.19230769231	20201	14979241.392	4993080.464	17865302.452666666	0.27948479894079303	7870.904654847333	3	1.0	0.093161599646931	2623.634884949111	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	3	202003	Q1	129194.0	0.3333333333333333	129194.0	2597155.57	2597155.57	1464434.0	52.0	28162.19230769231	20201	14979241.392	4993080.464	17865302.452666666	0.27948479894079303	7870.904654847333	3	1.0	0.093161599646931	2623.634884949111	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	4	202004	Q2	132637.0	0.3333333333333333	132637.0	2293926.19	2293926.19	1464434.0	52.0	28162.19230769231	20202	13158307.207999999	4386102.402666666	17865302.452666666	0.2455095520653765	6914.08721864053	3	1.0	0.0818365173551255	2304.6957395468435	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	5	202005	Q2	120993.0	0.3333333333333333	120993.0	2317983.4639999997	2317983.4639999997	1464434.0	52.0	28162.19230769231	20202	13158307.207999999	4386102.402666666	17865302.452666666	0.2455095520653765	6914.08721864053	3	1.0	0.0818365173551255	2304.6957395468435	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	6	202006	Q2	112028.0	0.3333333333333333	112028.0	1967243.95	1967243.95	1464434.0	52.0	28162.19230769231	20202	13158307.207999999	4386102.402666666	17865302.452666666	0.2455095520653765	6914.08721864053	3	1.0	0.0818365173551255	2304.6957395468435	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	7	202007	Q3	124557.0	0.33333333333333337	124557.0	1982088.98	1982088.98	1464434.0	52.0	28162.19230769231	20203	12711267.280000001	4237089.093333335	17865302.452666666	0.23716861802700043	6679.188230226006	3	1.0	0.07905620600900014	2226.396076742002	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	8	202008	Q3	113777.0	0.33333333333333337	113777.0	2307125.04	2307125.04	1464434.0	52.0	28162.19230769231	20203	12711267.280000001	4237089.093333335	17865302.452666666	0.23716861802700043	6679.188230226006	3	1.0	0.07905620600900014	2226.396076742002	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	9	202009	Q3	113342.0	0.33333333333333337	113342.0	2066419.62	2066419.62	1464434.0	52.0	28162.19230769231	20203	12711267.280000001	4237089.093333335	17865302.452666666	0.23716861802700043	6679.188230226006	3	1.0	0.07905620600900014	2226.396076742002	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	10	202010	Q4	132974.0	0.3333333333333333	132974.0	2266698.5	2266698.5	1464434.0	52.0	28162.19230769231	20204	12747091.478	4249030.492666666	17865302.452666666	0.23783703096683004	6698.012203978438	3	1.0	0.07927901032227667	2232.6707346594794	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	11	202011	Q4	125407.0	0.3333333333333333	125407.0	2028255.7489999998	2028255.7489999998	1464434.0	52.0	28162.19230769231	20204	12747091.478	4249030.492666666	17865302.452666666	0.23783703096683004	6698.012203978438	3	1.0	0.07927901032227667	2232.6707346594794	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2020	12	202012	Q4	114971.0	0.3333333333333333	114971.0	2078591.4899999998	2078591.4899999998	1464434.0	52.0	28162.19230769231	20204	12747091.478	4249030.492666666	17865302.452666666	0.23783703096683004	6698.012203978438	3	1.0	0.07927901032227667	2232.6707346594794	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	1	202101	Q1	127132.0	0.3333333333333333	127132.0	1498345.5	1498345.5	1463186.862546447	47.0	31131.63537332866	20211	8813431.8	2937810.6	11242881.271430518	0.26130406690901575	8134.822932579354	3	1.0	0.08710135563633858	2711.6076441931177	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	2	202102	Q1	122928.0	0.3333333333333333	122928.0	1407982.0999999999	1407982.0999999999	1463186.862546447	47.0	31131.63537332866	20211	8813431.8	2937810.6	11242881.271430518	0.26130406690901575	8134.822932579354	3	1.0	0.08710135563633858	2711.6076441931177	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	3	202103	Q1	126274.0	0.3333333333333333	126274.0	1500388.3	1500388.3	1463186.862546447	47.0	31131.63537332866	20211	8813431.8	2937810.6	11242881.271430518	0.26130406690901575	8134.822932579354	3	1.0	0.08710135563633858	2711.6076441931177	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	4	202104	Q2	121885.0	0.3333333333333333	121885.0	1514385.0999999999	1514385.0999999999	1463186.862546447	47.0	31131.63537332866	20212	8945027.2	2981675.733333333	11242881.271430518	0.2652056587051329	8256.285865751643	3	1.0	0.0884018862350443	2752.095288583881	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2021	5	202105	Q2	134011.0	0.3333333333333333	134011.0	1459727.5	1459727.5	1463186.862546447	47.0	31131.63537332866	20212	8945027.2	2981675.733333333	11242881.271430518	0.2652056587051329	8256.285865751643	3	1.0	0.0884018862350443	2752.095288583881	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
