reform	target	spec_name	event_time	beta	se	t	pvalue	n_obs	r2
haifa_comp	Haifa-Bayport terminal	porttr	-10	2.4544135947172627	2.2091396019310208e-11	111102693219.19931	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-9	2.571518056620379	6.32339266225358e-11	40666746380.79365	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-8	2.6071516410335605	3.075923470923779e-11	84759964468.5102	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-7	2.521089748617609	3.5383294690589157e-11	71250847911.80115	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-6	2.6030060774124104	2.1388262506382915e-11	121702549547.23851	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-5	2.6932853596043302	5.2208700677538236e-11	51586906485.93488	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-4	2.5968082264569636	2.5373329798055865e-11	102344006369.07869	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-3	2.6378129613806665	2.9380499970998166e-11	89781078061.45172	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-2	-2.631273885068342	1.983399102987281e-11	-132664872193.66336	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	0	-4.199826146007749	1.432597230474821e-10	-29316168261.862095	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	1	1.2385468439735854	4.0051895325329025e-11	30923551405.326927	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	2	1.238660765095159	1.5106613345916006e-10	8199460307.429028	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	3	1.2387746862333346	1.0235041553601688e-10	12103269730.228039	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	4	0.6124355507911639	5.5627230832351884e-11	11009635777.788553	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	5	0.6125494719389535	5.554980064297935e-11	11027032767.873137	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	6	0.61266339306225	1.0393960938693637e-10	5894416928.021018	0.0	91	1.0
