port	terminal	year	month	date	L_hours
Ashdod	Ashdod-Legacy	2021	12	2021-12-31	3483.5980369813697
Ashdod	Ashdod-Legacy	2022	1	2022-01-31	3557.1813492692486
Ashdod	Ashdod-Legacy	2022	2	2022-02-28	3557.1813492692486
Ashdod	Ashdod-Legacy	2022	3	2022-03-31	3557.1813492692486
Ashdod	Ashdod-Legacy	2022	4	2022-04-30	3585.224499427655
Ashdod	Ashdod-Legacy	2022	5	2022-05-31	3585.224499427655
Ashdod	Ashdod-Legacy	2022	6	2022-06-30	3585.224499427655
Ashdod	Ashdod-Legacy	2022	7	2022-07-31	3048.861004553992
Ashdod	Ashdod-Legacy	2022	8	2022-08-31	3048.861004553992
Ashdod	Ashdod-Legacy	2022	9	2022-09-30	3048.861004553992
Ashdod	Ashdod-Legacy	2022	10	2022-10-31	2700.9763899923464
Ashdod	Ashdod-Legacy	2022	11	2022-11-30	2700.9763899923464
Ashdod	Ashdod-Legacy	2022	12	2022-12-31	2700.9763899923464
Ashdod	Ashdod-Legacy	2023	1	2023-01-31	3104.3255288607165
Ashdod	Ashdod-Legacy	2023	2	2023-02-28	3104.3255288607165
Ashdod	Ashdod-Legacy	2023	3	2023-03-31	3104.3255288607165
Ashdod	Ashdod-Legacy	2023	4	2023-04-30	2550.049972476774
Ashdod	Ashdod-Legacy	2023	5	2023-05-31	2550.049972476774
Ashdod	Ashdod-Legacy	2023	6	2023-06-30	2550.049972476774
Ashdod	Ashdod-Legacy	2023	7	2023-07-31	2620.8798173137316
Ashdod	Ashdod-Legacy	2023	8	2023-08-31	2620.8798173137316
Ashdod	Ashdod-Legacy	2023	9	2023-09-30	2620.8798173137316
Ashdod	Ashdod-Legacy	2023	10	2023-10-31	2410.887538491636
Ashdod	Ashdod-Legacy	2023	11	2023-11-30	2410.887538491636
Ashdod	Ashdod-Legacy	2023	12	2023-12-31	2410.887538491636
Ashdod	Ashdod-Legacy	2024	1	2024-01-31	2810.2754861735643
Ashdod	Ashdod-Legacy	2024	2	2024-02-29	2810.2754861735643
Ashdod	Ashdod-Legacy	2024	3	2024-03-31	2810.2754861735643
Ashdod	Ashdod-Legacy	2024	4	2024-04-30	2280.0099855534804
Ashdod	Ashdod-Legacy	2024	5	2024-05-31	2280.0099855534804
Ashdod	Ashdod-Legacy	2024	6	2024-06-30	2280.0099855534804
Ashdod	Ashdod-Legacy	2024	7	2024-07-31	2503.7924363873844
Ashdod	Ashdod-Legacy	2024	8	2024-08-31	2503.7924363873844
Ashdod	Ashdod-Legacy	2024	9	2024-09-30	2503.7924363873844
Ashdod	Ashdod-Legacy	2024	10	2024-10-31	2541.316828727676
Ashdod	Ashdod-Legacy	2024	11	2024-11-30	2541.316828727676
Ashdod	Ashdod-Legacy	2024	12	2024-12-31	2541.316828727676
Haifa	Haifa-Bayport	2018	1	2018-01-31	0.0
Haifa	Haifa-Bayport	2018	2	2018-02-28	0.0
Haifa	Haifa-Bayport	2018	3	2018-03-31	0.0
Haifa	Haifa-Bayport	2018	4	2018-04-30	0.0
Haifa	Haifa-Bayport	2018	5	2018-05-31	0.0
Haifa	Haifa-Bayport	2018	6	2018-06-30	0.0
Haifa	Haifa-Bayport	2018	7	2018-07-31	0.0
Haifa	Haifa-Bayport	2018	8	2018-08-31	0.0
Haifa	Haifa-Bayport	2018	9	2018-09-30	0.0
Haifa	Haifa-Bayport	2018	10	2018-10-31	0.0
Haifa	Haifa-Bayport	2018	11	2018-11-30	0.0
Haifa	Haifa-Bayport	2018	12	2018-12-31	0.0
Haifa	Haifa-Bayport	2019	1	2019-01-31	0.0
