month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2019-02	12657215.345412826	HAIFA_TOTAL	1969.2354963607736	6427.476738462144
2019-03	12670527.7401539	HAIFA_TOTAL	2385.350112580847	5311.810485734075
2019-04	12700313.059520254	HAIFA_TOTAL	2138.999452856638	5937.501780357616
2019-05	12746535.963957282	HAIFA_TOTAL	2054.9240596462973	6202.923122205923
2019-06	12809161.176273588	HAIFA_TOTAL	2102.2422869614097	6093.094623640173
2019-07	12888153.48161398	HAIFA_TOTAL	2082.772378894249	6187.979835058282
2019-08	12983477.727432048	HAIFA_TOTAL	1875.321245850808	6923.335271841182
2019-09	13095098.823462332	HAIFA_TOTAL	1856.6936820398937	7052.912901106627
2019-10	13222981.741692036	HAIFA_TOTAL	2423.7757766911327	5455.53011497774
2019-11	13367091.516332382	HAIFA_TOTAL	1810.456800625956	7383.270074000539
2019-12	13527393.243789464	HAIFA_TOTAL	1836.4610517702415	7366.011509337399
2020-01	13500063.4126006	HAIFA_TOTAL	2669.5045169615605	5057.142000256445
2020-02	13482748.856771592	HAIFA_TOTAL	2472.02775776068	5454.125187083306
2020-03	13475419.721903209	HAIFA_TOTAL	2729.3723801250935	4937.186226412095
2020-04	13478046.286838092	HAIFA_TOTAL	2410.7061037670483	5590.912250056884
2020-05	13490598.96271772	HAIFA_TOTAL	2435.988093015271	5538.039779997048
2020-06	13513048.29204796	HAIFA_TOTAL	2067.393021858213	6536.274500869781
2020-07	13545364.94777312	HAIFA_TOTAL	2082.993787300281	6502.835020611822
2020-08	13587519.73235844	HAIFA_TOTAL	2424.5768849614974	5604.078722615642
2020-09	13639483.576880883	HAIFA_TOTAL	2171.6175579642277	6280.794482831107
2020-10	13701227.540128252	HAIFA_TOTAL	2382.092297986978	5751.76182371551
2020-11	13772722.807706391	HAIFA_TOTAL	2131.5108286526456	6461.483855755168
2020-12	13858422.691154543	HAIFA_TOTAL	2184.409077338815	6344.243317299224
2021-01	13830870.434196308	HAIFA_TOTAL	2717.6274413264255	5089.318066145854
2021-02	13813809.834960813	HAIFA_TOTAL	2553.7306261182134	5409.266621029028
2021-03	13807207.77414829	HAIFA_TOTAL	2721.3325743128707	5073.693639828117
2021-04	13811031.285742791	HAIFA_TOTAL	2746.71930105297	5028.191734207517
2021-05	13825247.5559838	HAIFA_TOTAL	2647.583959012671	5221.8353676457045
2021-06	13849823.922346102	HAIFA_TOTAL	2717.728104573316	5096.103579692173
2021-07	13884727.872528091	HAIFA_TOTAL	2556.8643381526936	5430.373315214547
2021-08	13929927.04344828	HAIFA_TOTAL	2604.4821584781084	5348.444026811085
2021-09	14119352.120249972	HAIFA_TOTAL	2357.295547536139	5989.640176857591
2021-10	14451954.933901178	HAIFA_TOTAL	2858.636129051989	5055.541972280987
2021-11	14926695.168703057	HAIFA_TOTAL	2642.0402238872603	5649.68505541572
2021-12	15542540.302860957	HAIFA_TOTAL	2771.768196187416	5607.445934418259
