series_id	entity	level	freq	port	terminal	year	month	month_index	delta_scenario	K	L	KL	log_KL
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	10	202210	central	1559675.2917775714	1242.8611416485192	1254.9071167426098	7.13481683826331
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	11	202211	central	1614099.6485816482	1614.7611547116528	999.5903380954674	6.907345533143243
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	12	202212	central	1674134.327762938	1724.6602165510285	970.7038590539695	6.878021436247488
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	1	202301	central	1661436.10866039	1721.8102397792118	964.9356649623808	6.8720614306837815
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	2	202302	central	1648834.2048688077	1471.2412212814386	1120.7096300854641	7.021717361941081
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	3	202303	central	1636327.8858417217	1863.4934023427188	878.0969569221911	6.777757016834596
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	4	202304	central	1623916.426573819	1912.70075028627	849.0175090540278	6.744079809248314
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	5	202305	central	1611599.107558913	1739.3417787892106	926.5568890553404	6.831475445950841
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	6	202306	central	1599375.214748233	1651.1912002618865	968.6190275811576	6.875871374191994
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	7	202307	central	1587244.03950903	1691.889227915888	938.1489126591565	6.843908691906071
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	8	202308	central	1575204.878583496	1396.860072845916	1127.6754982152409	7.027913711783298
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	9	202309	central	1563257.034047996	1620.5293722598851	964.6582535359906	6.871773897202625
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	10	202310	central	1551399.813272608	1184.481713845723	1309.771012197049	7.177607601066342
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	11	202311	central	1539632.5288809715	980.4767383144722	1570.2897057279895	7.359015407260931
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2023	12	202312	central	1527954.4987104386	828.0120598551559	1845.3287974787752	7.520412750612706
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	1	202401	central	1516365.045772528	915.6492450584882	1656.054492433583	7.41219324046274
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	2	202402	central	1504863.4982136805	1067.659318224067	1409.4978356175022	7.250988774985412
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	3	202403	central	1493449.1892763097	1300.4740013872986	1148.3883473896074	7.046114801373423
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	4	202404	central	1482121.4572601493	775.2091960524247	1911.8987039982414	7.555852113127488
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	5	202405	central	1470879.645483895	1208.3167484396931	1217.296414523138	7.104387624977169
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	6	202406	central	1459723.1022471343	745.9713836664157	1956.8084436063232	7.579070079930918
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	7	202407	central	1448651.1807925676	755.7480659589638	1916.8440463746122	7.558435386775756
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	8	202408	central	1437663.2392685146	876.5610310273994	1640.1176739324799	7.402523270642018
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	9	202409	central	1426758.6406917055	853.4760131009494	1671.703268505272	7.421598306905137
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	10	202410	central	1415936.7529103556	947.3429764828416	1494.6400491269185	7.309640687020312
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	11	202411	central	1405196.9485675157	897.3431716604614	1565.9526844867073	7.356249661845698
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2024	12	202412	central	1394538.6050647062	921.5288489409972	1513.288061103331	7.322040086349318
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	1	201801	central	1241493.923894206	2240.986068059386	553.9944855477372	6.317154732812793
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	2	201802	central	1232098.710677581	2411.8690503993957	510.84809536966793	6.236072276675129
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	3	201803	central	1223176.6544015498	2331.2977209099176	524.6762965667626	6.262781494461186
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	4	201804	central	1214723.858454283	2607.434748152321	465.8693220664717	6.143905170049212
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	5	201805	central	1206736.4622653532	2441.777888319351	494.2040256970042	6.2029484394076215
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	6	201806	central	1199210.6409493966	2280.578284747295	525.8362096007934	6.264989775654568
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	7	201807	central	1192142.6049534257	2069.6379881526027	576.0150382712845	6.356133768464949
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	8	201808	central	1185528.599707748	2077.262667407408	570.716750610737	6.346893028103234
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	9	201809	central	1179364.9052804653	2103.2224830146847	560.7418686348414	6.329260672421066
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	10	201810	central	1173647.836035502	2250.076686871537	521.6034826205498	6.256907687393355
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	11	201811	central	1168373.7402941375	2183.2360576730875	535.1568540597486	6.2825598890840455
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2018	12	201812	central	1163539.0	2209.1018377744954	526.7022914489893	6.266635477057038
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	1	201901	central	1153417.671054322	2091.535512864611	551.4693219215661	6.312586210530866
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	2	201902	central	1142806.637433675	1969.2354963607736	580.3301024918693	6.363597083867815
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	3	201903	central	1131709.8750242733	2385.350112580847	474.44183101482383	6.162139020471611
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	4	201904	central	1120131.330645034	2138.999452856638	523.6706952631972	6.260863042613039
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	5	201905	central	1108074.9222344744	2054.9240596462973	539.2291345429092	6.290140591044361
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	6	201906	central	1095544.5390366986	2102.2422869614097	521.1314346740705	6.256002283784255
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	7	201907	central	1082544.0417864595	2082.772378894249	519.7610899570244	6.253369263609142
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	8	201908	central	1069077.262893303	1875.321245850808	570.0768683011838	6.345771208404996
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	9	201909	central	1055148.006624795	1856.6936820398937	568.2940685539122	6.342639011074426
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	10	201910	central	1040760.0492888312	2423.7757766911327	429.3961757096385	6.062379979279354
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	11	201911	central	1025917.1394150292	1810.456800625956	566.6620374815482	6.339763072192621
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2019	12	201912	central	1010622.9979352084	1836.4610517702415	550.3100634565741	6.310481871117428
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	1	202001	central	1003288.6415381292	2669.5045169615605	375.8332811064414	5.929145643745809
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	2	202002	central	996972.3211765336	2472.02775776068	403.30142655018346	5.999684239066678
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	3	202003	central	991665.0326785896	2729.3723801250935	363.3307935185961	5.895313696214857
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	4	202004	central	987357.8566362913	2410.7061037670483	409.5720565411991	6.015112850063153
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	5	202005	central	984041.9575760524	2435.988093015271	403.96008518990885	6.001316074045325
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	6	202006	central	981708.583137623	2067.393021858213	474.85338915154324	6.1630061019732585
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	7	202007	central	980349.0632612408	2082.993787300281	470.6442569528007	6.154102515545043
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	8	202008	central	979954.8093829337	2424.5768849614974	404.17559676541066	6.001849428989112
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	9	202009	central	980517.313637892	2171.6175579642277	451.51472921275933	6.112607995166033
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	10	202010	central	982028.1480718266	2382.092297986978	412.2544491251258	6.021640753680139
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	11	202011	central	984478.9638602312	2131.5108286526456	461.8690886419435	6.135281493010427
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2020	12	202012	central	987861.4905354694	2184.409077338815	452.23282616044816	6.114197149337556
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	1	202101	central	981094.6582327692	2717.6274413264255	361.01146290821765	5.888909711037118
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	2	202102	central	975765.1544695063	2553.7306261182134	382.09400180657025	5.945666656362015
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	3	202103	central	971860.7977343895	2721.3325743128707	357.1268013722218	5.878090904632641
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	4	202104	central	969369.5113742253	2746.71930105297	352.9190299870147	5.866238653815089
Haifa_Legacy_KL	Haifa--Legacy	terminal	M	Haifa	Haifa-Legacy	2021	5	202105	central	968279.3226775224	2647.583959012671	365.72185723568526	5.90187309158281
