year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
2019	12	2019-12-01	49.860524928675986	3.9092296060920577	0.06	central	13119789.114850037	2061.125	6365.35344282857	8.758625038566644	12
2020	1	2020-01-01	58.14442014139958	4.062929918064779	0.06	central	13086722.888533028	2384.75	5487.670778292495	8.610259178228096	13
2020	2	2020-02-01	55.38861696479575	4.014374102691861	0.06	central	13054053.915267166	2318.2115384615386	5631.088319028201	8.636058009562129	14
2020	3	2020-03-01	57.061611489550614	4.0441315874046175	0.06	central	13023787.158617629	2484.5	5242.01535867081	8.564461313804815	15
2020	4	2020-04-01	49.091145027047155	3.893678672854916	0.06	central	12991864.422751844	2550.7115384615386	5093.427550254422	8.535706271967916	16
2020	5	2020-05-01	54.379912050913006	3.995994821897261	0.06	central	12961298.844833707	2326.7884615384614	5570.467216544369	8.625234210291204	17
2020	6	2020-06-01	49.844821852743344	3.908914616443671	0.06	central	12930104.914265295	2154.3846153846152	6001.76255527007	8.69980846428308	18
2020	7	2020-07-01	45.169306205306206	3.8104177899139766	0.06	central	12900230.72904032	2395.326923076923	5385.582487616887	8.591480752286076	19
2020	8	2020-08-01	57.55791677357677	4.052791689105295	0.06	central	12869736.817782355	2188.019230769231	5881.91211338568	8.679637177381382	20
2020	9	2020-09-01	51.750679595843486	3.9464375643460814	0.06	central	12839587.962930612	2179.653846153846	5890.654603522012	8.681122408589436	21
2020	10	2020-10-01	48.38552266897733	3.879200650568192	0.06	central	12810705.266182752	2557.1923076923076	5009.676130984276	8.519126547475247	22
2020	11	2020-11-01	45.90810321718783	3.826641642164501	0.06	central	12958941.530682491	2411.673076923077	5373.423808842325	8.589220565124636	23
2020	12	2020-12-01	51.31794401265886	3.938040476837735	0.06	central	12934571.321241856	2210.9807692307695	5850.150983331244	8.674222749009305	24
2021	1	2021-01-01	78.87401446461342	4.367851825881425	0.06	central	12911149.350491537	2704.936170212766	4773.180784327331	8.470768192745197	25
2021	2	2021-02-01	76.65194420863219	4.339274969753249	0.06	central	12889489.75667928	2615.489361702128	4928.136946537209	8.50271629430313	26
2021	3	2021-03-01	79.51820868261099	4.375986035467465	0.06	central	12872165.057859411	2686.68085106383	4791.103138566865	8.474515964217023	27
2021	4	2021-04-01	83.15012825092363	4.4206477480421205	0.06	central	12857284.184464006	2593.2978723404253	4957.8894586684855	8.508735416797673	28
2021	5	2021-05-01	72.896755483295	4.289044131622184	0.06	central	12849389.583170136	2851.297872340426	4506.505513793617	8.41327730151588	29
2021	6	2021-06-01	77.06150630392189	4.3446038861640135	0.06	central	12852136.997573595	2768.6595744680853	4642.006953867829	8.442902084865969	30
2021	7	2021-07-01	0.3587952819157292	-1.0250032985056665	0.06	central	12871543.868983258	2580.950719154392	4987.13275439851	8.514616425283755	31
2021	8	2021-08-01	0.377979146736211	-0.9729162522488455	0.06	central	12919543.60392037	2730.8078815465105	4731.033512545664	8.46189895921326	32
2021	9	2021-09-01	0.1098432800635779	-2.2087006557725677	0.06	central	13013188.049716596	2290.201277614755	5682.115444136785	8.645078879725649	33
