row_key	row_label	horizon	lp_family	lp_spec	kl_spec	eta_interpretation_class	TE	TE_se	TE_ci	TE_R2	dC	dC_se	dC_ci	eta	eta_se	CD	CD_se	CD_ci	share_explained	share_se	share_ci	sign_consistent	share_valid	kl_component_windows	kl_component_month_weights	warning_flags
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	Baseline	Baseline	manual_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.42		-0.216578190785557	0.1635860237496208	[-0.537,0.104]	0.20850772006735016	0.15802393927563818	[-0.101,0.518]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	Baseline	Baseline	regression_robustness	-1.038705860462145	0.0646446648704966	[-1.165,-0.912]	0.8970271780336675	-0.515662359013231	0.3894905327371924	[-1.279,0.248]	0.2973714495310104	0.0273679567527447	-0.1533432631683448	0.11667998074141586	[-0.382,0.075]	0.14762914989246206	0.1127071877602589	[-0.073,0.369]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	+Tr	Controls+Trend	preferred_manual	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.251		-0.007073872845866846	0.1035128958116716	[-0.210,0.196]	0.0088232004243746	0.12911380023115002	[-0.244,0.262]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	+Tr	Controls+Trend	manual_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.3333333333333333		-0.00939425344736633	0.13746732511510174	[-0.279,0.260]	0.01171739764193174	0.17146587016088982	[-0.324,0.348]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	+Tr	Controls+Trend	manual_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.42		-0.011836759343681575	0.17320882964502818	[-0.351,0.328]	0.01476392102883399	0.21604699640272118	[-0.409,0.438]	True	True	[1,6]; [7,12]	6; 1	
privatization_legacy	Haifa privatization - Legacy	[1,7]	Conventional DiD	+Tr	Controls+Trend	regression_robustness	-0.8017354820961411	0.0768197907359864	[-0.952,-0.651]	0.8349536799473694	-0.02818276034209899	0.4124019753453052	[-0.836,0.780]	0.2973714495310104	0.0273679567527447	-0.008380748294715051	0.12263899867682455	[-0.249,0.232]	0.010453258564537453	0.1529701882854298	[-0.289,0.310]	True	True	[1,6]; [7,12]	6; 1	
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	NYT	Baseline	Baseline	preferred_manual_aggregate	-0.2606100500028592	0.0345666097139727	[-0.328,-0.193]	0.978766511052472	-0.23120221287399467	0.0713639727412838	[-0.371,-0.091]	0.6520393372491453		-0.1507529376528953	0.046532117489692756	[-0.242,-0.060]	0.5784617195355335	0.19433780791343963	[0.198,0.959]	True	True	[1,6]; [7,12]	6; 1	
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	NYT	Baseline	Baseline	aggregate_regression_fallback	-0.2606100500028592	0.0345666097139727	[-0.328,-0.193]	0.978766511052472	-0.23120221287399467	0.0713639727412838	[-0.371,-0.091]	0.5570097682663729	0.0669624484974591	-0.1287818910156164	0.04265893648494792	[-0.212,-0.045]	0.4941555055693498	0.17632343588410276	[0.149,0.840]	True	True	[1,6]; [7,12]	6; 1	aggregate_eta_fallback
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	NYT	+Tr	Controls+Trend	preferred_manual_aggregate	-0.1525324782078379	0.127322215794614	[-0.402,0.097]	0.7104134149508838	-0.1283098253898142	0.08683460827868657	[-0.299,0.042]	0.6520393372491453		-0.08366305350972801	0.056619580432323936	[-0.195,0.027]	0.548493373298048	0.5894099778739951	[-0.607,1.704]	True	True	[1,6]; [7,12]	6; 1	
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	NYT	+Tr	Controls+Trend	aggregate_regression_fallback	-0.1525324782078379	0.127322215794614	[-0.402,0.097]	0.7104134149508838	-0.1283098253898142	0.08683460827868657	[-0.299,0.042]	0.5570097682663729	0.0669624484974591	-0.07146982610667918	0.04912492503083359	[-0.168,0.025]	0.468554808434278	0.5066491483853327	[-0.524,1.462]	True	True	[1,6]; [7,12]	6; 1	aggregate_eta_fallback
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	Conventional DiD	Baseline	Baseline	preferred_manual_aggregate	-0.2606100500028592	0.0345666097139727	[-0.328,-0.193]	0.978766511052472	-0.23120221287399467	0.0713639727412838	[-0.371,-0.091]	0.6520393372491453		-0.1507529376528953	0.046532117489692756	[-0.242,-0.060]	0.5784617195355335	0.19433780791343963	[0.198,0.959]	True	True	[1,6]; [7,12]	6; 1	
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	Conventional DiD	Baseline	Baseline	aggregate_regression_fallback	-0.2606100500028592	0.0345666097139727	[-0.328,-0.193]	0.978766511052472	-0.23120221287399467	0.0713639727412838	[-0.371,-0.091]	0.5570097682663729	0.0669624484974591	-0.1287818910156164	0.04265893648494792	[-0.212,-0.045]	0.4941555055693498	0.17632343588410276	[0.149,0.840]	True	True	[1,6]; [7,12]	6; 1	aggregate_eta_fallback
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	Conventional DiD	+Tr	Controls+Trend	preferred_manual_aggregate	-0.1525324782078379	0.127322215794614	[-0.402,0.097]	0.7104134149508838	-0.1283098253898142	0.08683460827868657	[-0.299,0.042]	0.6520393372491453		-0.08366305350972801	0.056619580432323936	[-0.195,0.027]	0.548493373298048	0.5894099778739951	[-0.607,1.704]	True	True	[1,6]; [7,12]	6; 1	
privatization_aggregate	Haifa privatization - Aggregate	[1,7]	Conventional DiD	+Tr	Controls+Trend	aggregate_regression_fallback	-0.1525324782078379	0.127322215794614	[-0.402,0.097]	0.7104134149508838	-0.1283098253898142	0.08683460827868657	[-0.299,0.042]	0.5570097682663729	0.0669624484974591	-0.07146982610667918	0.04912492503083359	[-0.168,0.025]	0.468554808434278	0.5066491483853327	[-0.524,1.462]	True	True	[1,6]; [7,12]	6; 1	aggregate_eta_fallback
