port	year	month	date	L_hours_port
Haifa	2023	6	2023-06-30	3012.0600495787776
Haifa	2023	7	2023-07-31	2970.0038418284958
Haifa	2023	8	2023-08-31	3470.5770248816048
Haifa	2023	9	2023-09-30	2416.3377679755563
Haifa	2023	10	2023-10-31	4106.455875646727
Haifa	2023	11	2023-11-30	2773.7477704723115
Haifa	2023	12	2023-12-31	2353.2664045101183
Haifa	2024	1	2024-01-31	1968.860770614121
Haifa	2024	2	2024-02-29	2265.4908666628953
Haifa	2024	3	2024-03-31	1863.830898536452
Haifa	2024	4	2024-04-30	2111.635356401821
Haifa	2024	5	2024-05-31	1862.6686959823028
Haifa	2024	6	2024-06-30	2028.8033722947662
Haifa	2024	7	2024-07-31	2295.997216137113
Haifa	2024	8	2024-08-31	2457.943487058581
Haifa	2024	9	2024-09-30	2572.57059476663
Haifa	2024	10	2024-10-31	2529.6183699592125
Haifa	2024	11	2024-11-30	2754.4882499727846
Haifa	2024	12	2024-12-31	2352.6404142962483
