month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2020-12	13858422.691154543	HAIFA_TOTAL	2232.6707346594794	6207.10545268476
2021-01	13830870.434196308	HAIFA_TOTAL	2711.6076441931177	5100.616405111185
2021-02	13813809.834960813	HAIFA_TOTAL	2711.6076441931177	5094.3247134381545
2021-03	13807207.77414829	HAIFA_TOTAL	2711.6076441931177	5091.889972989379
2021-04	13811031.285742791	HAIFA_TOTAL	2752.095288583881	5018.369582998487
2021-05	13825247.5559838	HAIFA_TOTAL	2752.095288583881	5023.535200010361
2021-06	13849823.922346102	HAIFA_TOTAL	2752.095288583881	5032.465256489238
2021-07	13884727.872528091	HAIFA_TOTAL	2512.9353157131686	5525.302535926046
2021-08	13929927.04344828	HAIFA_TOTAL	2512.9353157131686	5543.289139336633
2021-09	14119352.120249972	HAIFA_TOTAL	2512.9353157131686	5618.66914439177
2021-10	14451954.933901178	HAIFA_TOTAL	2655.2979514065228	5442.686733609656
2021-11	14926695.168703057	HAIFA_TOTAL	2655.2979514065228	5621.476550605676
2021-12	15542540.302860957	HAIFA_TOTAL	2655.2979514065228	5853.40725873268
2022-01	15504819.510490296	HAIFA_TOTAL	3409.93861821052	4546.949739120809
2022-02	15478447.602372408	HAIFA_TOTAL	3409.93861821052	4539.2159025124165
2022-03	15463356.892928876	HAIFA_TOTAL	3409.93861821052	4534.790394861651
2022-04	15459480.16879537	HAIFA_TOTAL	3116.603257635801	4960.361936001649
2022-05	15466750.685305675	HAIFA_TOTAL	3116.603257635801	4962.69476950957
2022-06	15485102.163002478	HAIFA_TOTAL	3116.603257635801	4968.5830639698415
2022-07	15514468.784174835	HAIFA_TOTAL	2520.4374245157833	6155.466758773198
2022-08	15554785.189422032	HAIFA_TOTAL	2520.4374245157833	6171.462555715049
2022-09	15605986.474243635	HAIFA_TOTAL	2520.4374245157833	6191.776999677664
2022-10	15668008.185655598	HAIFA_TOTAL	2022.7140408514495	7746.032246387256
2022-11	15740786.318832122	HAIFA_TOTAL	2022.7140408514495	7782.012682428472
2022-12	15824257.313773192	HAIFA_TOTAL	2022.7140408514495	7823.279511676335
2023-01	15778663.17302673	HAIFA_TOTAL	2492.7738896474934	6329.7610900674235
2023-02	15739176.745998109	HAIFA_TOTAL	2492.7738896474934	6313.920733590405
2023-03	15705773.541769473	HAIFA_TOTAL	2492.7738896474934	6300.520719907912
2023-04	15678429.202831805	HAIFA_TOTAL	3053.9458811219292	5133.826797569843
2023-05	15657119.504161231	HAIFA_TOTAL	3053.9458811219292	5126.849038467331
2023-06	15641820.35230276	HAIFA_TOTAL	3053.9458811219292	5121.839404225598
2023-07	15632507.784461288	HAIFA_TOTAL	2923.5189644258608	5347.1545677253025
2023-08	15629157.967599932	HAIFA_TOTAL	2923.5189644258608	5346.008751022173
2023-09	15631747.197545504	HAIFA_TOTAL	2923.5189644258608	5346.894406281153
2023-10	15640251.89810118	HAIFA_TOTAL	2530.654877805472	6180.318001980602
2023-11	15654648.620166216	HAIFA_TOTAL	2530.654877805472	6186.006933407522
2023-12	15674914.040862674	HAIFA_TOTAL	2530.654877805472	6194.014908289514
2024-01	15625781.29394857	HAIFA_TOTAL	2137.1462392174435	7311.517109690278
2024-02	15578255.98352228	HAIFA_TOTAL	2137.1462392174435	7289.279365939203
