Port	Month-Year	Total loaded and unloaded in thousands of tons
Haifa	11-2013	1,842
Haifa	12-2013	2,119
Haifa	01-2014	2,205
Haifa	02-2014	1,831
Haifa	03-2014	2,273
Haifa	04-2014	2,433
Haifa	05-2014	2,412
Haifa	06-2014	2,388
Haifa	07-2014	2,627
Haifa	08-2014	2,258
Haifa	09-2014	2,235
Haifa	10-2014	2,264
Haifa	11-2014	2,148
Haifa	12-2014	2,427
Haifa	01-2015	2,221
Haifa	02-2015	2,162
Haifa	03-2015	2,712
Haifa	04-2015	2,201
Haifa	05-2015	2,277
Haifa	06-2015	2,254
Haifa	07-2015	2,174
Haifa	08-2015	2,026
Haifa	09-2015	2,190
Haifa	10-2015	2,365
Haifa	11-2015	2,279
Haifa	12-2015	2,398
Haifa	01-2016	2,313
Haifa	02-2016	2,314
Haifa	03-2016	2,524
Haifa	04-2016	2,224
Haifa	05-2016	2,664
Haifa	06-2016	2,309
Haifa	07-2016	2,242
Haifa	08-2016	2,184
Haifa	09-2016	2,149
Haifa	10-2016	2,330
Haifa	11-2016	2,306
Haifa	12-2016	2,468
Haifa	01-2017	2,464
Haifa	02-2017	2,123
Haifa	03-2017	2,558
Haifa	04-2017	2,612
Haifa	05-2017	2,494
Haifa	06-2017	2,589
Haifa	07-2017	2,401
Haifa	08-2017	2,516
Haifa	09-2017	2,263
Haifa	10-2017	2,445
Haifa	11-2017	2,329
Haifa	12-2017	2,459
Haifa	01-2018	2,432
Haifa	02-2018	2,618
Haifa	03-2018	2,530
Haifa	04-2018	2,830
Haifa	05-2018	2,650
Haifa	06-2018	2,475
Haifa	07-2018	2,246
Haifa	08-2018	2,255
Haifa	09-2018	2,283
Haifa	10-2018	2,442
Haifa	11-2018	2,370
Haifa	12-2018	2,398
Haifa	01-2019	2,470
Haifa	02-2019	2,326
Haifa	03-2019	2,817
Haifa	04-2019	2,526
Haifa	05-2019	2,427
Haifa	06-2019	2,483
Haifa	07-2019	2,460
Haifa	08-2019	2,215
Haifa	09-2019	2,193
Haifa	10-2019	2,862
Haifa	11-2019	2,138
Haifa	12-2019	2,169
Haifa	01-2020	2,540
Haifa	02-2020	2,352
Haifa	03-2020	2,597
Haifa	04-2020	2,294
Haifa	05-2020	2,318
Haifa	06-2020	1,967
Haifa	07-2020	1,982
Haifa	08-2020	2,307
Haifa	09-2020	2,066
Haifa	10-2020	2,267
Haifa	11-2020	2,028
Haifa	12-2020	2,079
Haifa	01-2021	2,350
Haifa	02-2021	2,165
Haifa	03-2021	2,242
Haifa	04-2021	2,475
Haifa	05-2021	2,338
Haifa	06-2021	2,418
Haifa	07-2021	2,261
