Port	Month-Year	TEU_thousands
Ashdod	03-2021	136.831
Ashdod	04-2021	130.945
Ashdod	05-2021	139.946
Ashdod	06-2021	145.913
Ashdod	07-2021	150.512
Ashdod	08-2021	152.686
Ashdod	09-2021	105.359
Ashdod	10-2021	136.624
Haifa	01-2008	111.821
Haifa	02-2008	107.855
Haifa	03-2008	121.856
Haifa	04-2008	116.791
Haifa	05-2008	117.909
Haifa	06-2008	116.313
Haifa	07-2008	121.686
Haifa	08-2008	96.541
Haifa	09-2008	62.096
Haifa	10-2008	91.875
Haifa	11-2008	101.028
Haifa	12-2008	85.347
Haifa	01-2009	86.263
Haifa	02-2009	79.897
Haifa	03-2009	95.72
Haifa	04-2009	95.683
Haifa	05-2009	102.347
Haifa	06-2009	101.921
Haifa	07-2009	100.866
Haifa	08-2009	95.339
Haifa	09-2009	84.512
Haifa	10-2009	90.226
Haifa	11-2009	95.217
Haifa	12-2009	105.532
Haifa	01-2010	93.407
Haifa	02-2010	88.625
Haifa	03-2010	115.287
Haifa	04-2010	105.094
Haifa	05-2010	114.218
Haifa	06-2010	114.558
Haifa	07-2010	110.988
Haifa	08-2010	118.677
Haifa	09-2010	105.246
Haifa	10-2010	100.435
Haifa	11-2010	102.102
Haifa	12-2010	97.82
Haifa	01-2011	86.518
Haifa	02-2011	100.097
Haifa	03-2011	115.37
Haifa	04-2011	102.965
Haifa	05-2011	117.208
Haifa	06-2011	118.078
Haifa	07-2011	105.812
Haifa	08-2011	108.437
Haifa	09-2011	90.759
Haifa	10-2011	97.236
Haifa	11-2011	100.075
Haifa	12-2011	92.96
Haifa	01-2012	119.345
Haifa	02-2012	104.673
Haifa	03-2012	133.509
Haifa	04-2012	126.614
Haifa	05-2012	125.025
Haifa	06-2012	110.551
Haifa	07-2012	114.893
Haifa	08-2012	109.5
Haifa	09-2012	97.888
Haifa	10-2012	105.79
Haifa	11-2012	106.433
Haifa	12-2012	116.4
Haifa	01-2013	131.694
Haifa	02-2013	117.912
Haifa	03-2013	130.889
