model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	0	0	0.3998639336837217	0.1227924911677459	3.2564200781419967	0.001128266890512	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	1	1	0.7805138115707716	0.1121488478502107	6.959623986625776	3.411821321913368e-12	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	2	2	1.176875302910993	0.1284106714030695	9.1649338022452	4.9577393109477485e-20	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	3	3	1.5573034116054043	0.1619658655625709	9.615009966428907	6.910265838698264e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	4	4	1.5705881169665914	0.1623041305885264	9.676821601961242	3.7829384348427193e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	5	5	1.5908498592711118	0.1644354321451803	9.674617194830294	3.865354889216245e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	6	6	1.6091801746098158	0.1663856193684596	9.671389755422906	3.989234699440084e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	7	7	1.6114998802983804	0.1654329872152617	9.74110367844288	2.0135542155676033e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	8	8	1.6310799301707242	0.1675409058642356	9.735413102591473	2.1295067016371913e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	9	9	1.651282693984531	0.1697384342663936	9.728395935318623	2.2816236741110696e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	10	10	1.6512050953409745	0.1707370569306899	9.671041102759988	4.002850053574569e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	11	11	1.671376298226397	0.172924422317369	9.66535713017397	4.231414561999144e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	12	12	1.6915310344923835	0.1751316926414607	9.658623227923568	4.518960569825361e-22	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	13	13	1.6584853294251307	0.1854709486871092	8.94202213966677	3.8211301493874523e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	14	14	1.6786068634605873	0.1874573768732372	8.95460552931826	3.409525021118758e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	15	15	1.6980771435758522	0.1894015077787275	8.965489047530012	3.0890698082316623e-19	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	16	16	1.7271613563220112	0.1828216874610621	9.447245457078864	3.478643297946938e-21	1	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	17	17	1.7259424231705	0.1826619114364541	9.44883588262972	3.426198021335566e-21	1	482	34	448	HC1		0.8497883418321723
