model	reform	target	fe_type	spec_name	window_name	m_start	m_end	beta_hat	se	tvalue	pvalue	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_priv	Haifa-Legacy K/L	baseline	baseline	post_y1	1	12	-0.4687398005315945	0.0109263783622578	-42.89983240473579	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	baseline	baseline	post_y2	13	23	-0.6828154722684698	0.0109327242337834	-62.45611410909715	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	baseline	baseline	pre_all	-12	-2	-0.6570540162456046	0.0115621589808606	-56.8279693553128	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	baseline	baseline	did_post	1	23	0.0478868749022353	0.1024374523140849	0.4674742862152477	0.6401605849717589	481	37	444	HC1		0.9953598550039848
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	post_all	1	23	-0.5711238174492317	0.0107911726953862	-52.92509290425996	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	post_y1	1	12	-0.4687398005315988	0.0109263783622582	-42.89983240473464	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	post_y2	13	23	-0.6828154722684676	0.0109327242337838	-62.45611410909467	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	pre_all	-12	-2	-0.6570540162456059	0.0115621589808609	-56.82796935531149	0.0	481	37	444	HC1		0.9989983743491754
1B	haifa_priv	Haifa-Legacy K/L	porttr	porttr	did_post	1	23	0.0478868749022373	0.1024374523140983	0.4674742862152064	0.6401605849717884	481	37	444	HC1		0.9953598550039848
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_all	1	24	1.6134639936601287	0.112189054340052	14.381652498554976	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_y1	1	12	1.5161071341206742	0.1140630774078635	13.291830876168818	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_y2	13	24	1.710820853199583	0.1168373686306101	14.64275405421418	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	pre_all	-9	-2	-1.7711820061360894	0.172635116054839	-10.25968555304506	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	baseline	baseline	did_post	1	24	2.99042320520062	0.366809087351576	8.152533043256872	3.56379529677272e-16	482	34	448	HC1		0.8397903221968712
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	post_all	1	24	1.613463993660128	0.1121890543400518	14.381652498554985	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	post_y1	1	12	1.516107134120673	0.1140630774078634	13.291830876168817	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	post_y2	13	24	1.7108208531995823	0.11683736863061	14.642754054214189	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	pre_all	-9	-2	-1.7711820061360852	0.1726351160548392	-10.259685553045026	0.0	482	34	448	HC1		0.8497883418321723
1B	haifa_comp	Haifa-Bayport K/L (SIPG central)	porttr	porttr	did_post	1	24	2.990423205200627	0.3668090873515862	8.152533043256666	3.563795296778783e-16	482	34	448	HC1		0.8397903221968712
1B	haifa_priv	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_all	1	23	0.0170409255651651	0.0531483060943148	0.3206297023827071	0.7484910258252344	481	37	444	HC1		0.9954529591437972
1B	haifa_priv	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_y1	1	12	0.0194498946386818	0.0532700782549176	0.3651185670425849	0.7150229017753333	481	37	444	HC1		0.9954529591437972
1B	haifa_priv	Haifa-Bayport K/L (SIPG central)	baseline	baseline	post_y2	13	23	0.0144129593031469	0.0531820394964459	0.2710117821658599	0.7863819704065731	481	37	444	HC1		0.9954529591437972
1B	haifa_priv	Haifa-Bayport K/L (SIPG central)	baseline	baseline	pre_all	-12	-2	-0.0602875730079837	0.0540646530392168	-1.1151014501887753	0.2648069501407644	481	37	444	HC1		0.9954529591437972
